Cluster1	AT3G05590	AT4G16720	AT3G16080	AT5G52650	AT3G48930	AT2G41840	AT2G34480	AT5G07090	AT1G04480	AT5G59850	AT3G02080	AT3G02560	AT3G62870	AT5G15200	AT3G09200	AT5G10360	AT1G01100	AT1G18080	AT1G22780	AT4G09320	AT3G24830	AT2G27720	AT5G02450	AT2G37190	AT1G04270	AT4G00100	AT1G52300	AT1G67430	AT5G58420	AT2G36170	AT4G17390	AT3G22230	AT1G43170	AT2G33370	AT3G47370	AT2G05220	AT5G04800	AT2G04390	AT1G41880	AT3G55750	AT4G18100	AT5G46430	AT3G18740	AT3G49010	AT1G08360	AT5G19510	AT3G09500	AT3G60245	AT5G23740	AT5G27770	AT3G52590	AT4G25740	AT3G53740	AT5G47930	AT5G41520	AT3G46560	AT5G20290	AT5G43970	AT4G34670	AT3G04400	AT3G10090	AT3G59650	AT3G62120	AT1G07770	AT5G59910	AT3G27740	AT1G27595	AT3G53580
Cluster2	AT3G04840	AT3G23390	AT2G01250	AT3G11510	AT3G56340	AT1G72370	AT4G15000	AT1G15930	AT3G55280	AT5G16130	AT5G56670	AT3G53890	AT3G05560	AT3G53020	AT3G59540	AT4G33865	AT1G02780	AT3G43980	AT3G44010	AT3G06700	AT2G19750	AT1G07070	AT2G36160	AT1G69620	AT4G29390	AT2G17360	AT3G12390	AT1G27435	AT1G03100	AT3G62840	AT1G54770	AT5G15090	AT1G47640	AT1G78815	AT5G22400	AT3G16640
Cluster3	AT3G13120	AT5G40950	AT1G32990	AT1G64510	AT2G33450	AT3G54210	AT1G79850	AT1G35680	AT5G54600	AT3G27160	AT5G14320	AT5G13510	AT5G65220	AT2G38140	AT2G24060	AT2G24020	AT5G52960	AT4G28660	AT5G06290	AT2G36835	AT2G29180	AT4G02530	AT1G47270	AT5G42765	AT1G08520	AT1G21350
Cluster4	AT2G37990	AT5G20160	AT4G01560	AT1G31660	AT3G55510	AT1G02870	AT5G15750	AT5G62440	AT4G04940	AT3G10530	AT3G15460	AT3G21540	AT3G13940	AT3G15000	AT3G22660	AT1G55900	AT3G07050	AT3G15080	AT5G08420	AT2G17670	AT2G44510	AT4G37090	AT5G48240	AT4G20020	AT1G17690
Cluster5	AT1G08560	AT3G02640	AT1G18370	AT1G02730	AT5G16250	AT3G51280	AT4G05190	AT3G55660	AT5G17160	AT5G25090	AT4G01730	AT1G63100	AT1G76310	AT5G48310	AT3G51740	AT3G52110	AT3G15550	AT3G12870	AT5G60930	AT5G67270	AT4G35620	AT2G22610	AT2G25690
Cluster6	AT1G26880	AT3G60770	AT1G18540	AT2G39460	AT3G53430	AT2G47610	AT3G25520	AT5G39740	AT5G02610	AT4G26230	AT2G27530	AT5G60670	AT5G09510	AT1G17880	AT1G04170	AT2G42910	AT4G29680
Cluster7	AT4G20560	AT4G20590	AT4G20520	AT4G20580	AT4G20570	AT4G20630	AT4G20650	AT4G20640	AT4G20620	AT4G20700	AT4G20530	AT4G20540	AT4G20550	AT4G20600	AT4G20610	AT2G24600
Cluster8	AT4G15830	AT1G76540	AT1G03780	AT4G02800	AT5G55520	AT5G45700	AT2G36200	AT3G20150	AT4G03100	AT1G72250	AT5G01910	AT2G29890	AT4G20430	AT5G51600	AT3G12810	AT4G37450
Cluster9	AT1G07400	AT1G59860	AT2G29500	AT3G46230	AT1G53540	AT5G12030	AT5G12020	AT4G10250	AT4G25200	AT1G52560	AT5G59720	AT4G27670	AT4G10560
Cluster10	AT2G38470	AT1G05575	AT5G27420	AT5G22250	AT1G24140	AT4G23810	AT4G18880	AT1G23710	AT1G50740	AT2G39650	AT1G66090	AT3G05200	AT1G07135
Cluster11	AT1G09210	AT5G61790	AT3G62600	AT4G16660	AT2G25110	AT4G29520	AT1G14360	AT1G04980	AT2G02810	AT5G03160	AT3G24090	AT5G52200
Cluster12	AT1G58983	AT1G59359	AT1G58684	AT1G58380	AT2G18020	AT4G36130	AT1G07940	AT5G60390	AT1G07930	AT1G07920	AT2G36230	AT3G17390
Cluster13	AT4G10340	AT5G54270	AT1G30380	AT1G06680	AT4G02770	AT3G26650	AT1G60950	AT5G46110	AT1G60550	AT5G58390	AT1G54040
Cluster14	AT1G78100	AT4G14560	AT3G15540	AT3G50340	AT4G36110	AT1G70940	AT3G20830	AT1G19220	AT3G62100	AT2G23180	AT2G42430
Cluster15	AT1G15820	AT5G01530	AT1G67740	AT1G52230	AT1G03600	AT3G52960	AT4G01150	AT3G50820	AT4G22490	AT4G32980
Cluster16	AT5G52900	AT1G15580	AT5G47370	AT2G22810	AT1G52830	AT1G04240	AT5G41400	AT2G26710	AT3G63440	AT3G42800
Cluster17	AT1G80270	AT5G02050	AT3G02650	AT5G61030	AT2G39795	AT5G19300	AT1G14300	AT1G06380	AT2G19540	AT1G36310
Cluster18	AT5G15120	AT3G10040	AT4G10270	AT5G19550	AT3G27220	AT3G23170	AT4G26270	AT2G31390	AT5G10040	AT1G76650
Cluster19	AT3G25230	AT3G12050	AT5G09590	AT3G17611	AT3G07090	AT2G36460	AT5G58590	AT1G66080	AT1G07020	AT1G66510
Cluster20	AT1G26820	AT5G03260	AT3G21550	AT3G16440	AT3G62020	AT5G04200	AT4G18425	AT1G08310	AT3G18450
Cluster21	AT3G51800	AT5G27330	AT3G63250	AT3G16310	AT3G01160	AT2G21090	AT2G03670	AT3G49430	AT3G48150
Cluster22	AT4G29780	AT4G11280	AT1G28370	AT1G61340	AT1G73540	AT4G27654	AT5G24590	AT5G52050	AT4G17615
Cluster23	AT1G27730	AT5G04340	AT5G61600	AT3G46620	AT5G47230	AT3G61190	AT3G10930	AT4G17490	AT1G73500
Cluster24	AT1G16030	AT2G32120	AT5G37670	AT1G03070	AT5G18040	AT5G11680	AT4G23493	AT4G09150	AT4G22740
Cluster25	AT1G69260	AT5G57050	AT2G46270	AT1G21410	AT5G02020	AT5G50360	AT1G05100	AT4G05100	AT4G33905
Cluster26	AT5G02810	AT3G46370	AT2G43010	AT5G63800	AT2G01170	AT5G57660	AT3G18080	AT2G39340	AT4G19600
Cluster27	AT4G02390	AT5G48720	AT2G45460	AT5G03780	AT2G31320	AT5G40840	AT5G24280	AT3G02400	AT4G22960
Cluster28	AT1G18320	AT3G10110	AT3G10610	AT5G35530	AT5G56950	AT5G10240	AT5G05000	AT5G62980
Cluster29	AT1G61090	AT3G10590	AT1G31290	AT4G29620	AT3G21840	AT4G29640	AT3G21860	AT3G13630
Cluster30	AT1G44110	AT2G32590	AT1G80370	AT1G54960	AT3G22880	AT4G38370	AT2G37560	AT3G12210
Cluster31	AT3G08740	AT3G52380	AT5G22340	AT3G21200	AT3G51140	AT5G13120	AT5G64290
Cluster32	AT1G52060	AT5G54370	AT3G19430	AT1G50060	AT3G06460	AT1G52050	AT4G27400
Cluster33	AT5G36700	AT5G36790	AT4G38970	AT5G54770	AT2G38540	AT5G55620	AT5G12910
Cluster34	AT1G48350	AT3G44890	AT5G47190	AT2G03420	AT1G69740	AT2G02500	AT3G49890
Cluster35	AT2G34640	AT3G48500	AT2G39670	AT3G17170	AT2G44640	AT1G36390	AT5G64580
Cluster36	AT4G12720	AT5G52750	AT1G69840	AT5G61900	AT2G20142	AT4G35600	AT3G06490
Cluster37	AT3G53190	AT4G34160	AT4G37750	AT2G25270	AT5G62710	AT1G28110	AT3G58100
Cluster38	AT3G23940	AT5G60870	AT5G19750	AT1G21560	AT5G19820	AT4G19210	AT5G20040
Cluster39	AT1G01470	AT2G23120	AT1G20440	AT1G51090	AT4G18280	AT4G17550	AT1G68500
Cluster40	AT4G24380	AT1G72520	AT3G53600	AT2G47060	AT3G25780	AT5G64870	AT1G51700
Cluster41	AT2G23540	AT1G74460	AT5G58860	AT4G20390	AT1G68850	AT2G35380	AT5G37690
Cluster42	AT1G18590	AT4G39940	AT2G46650	AT2G14750	AT2G20610	AT1G24100	AT5G63980
Cluster43	AT5G44730	AT1G72360	AT1G03610	AT1G53840	AT3G17860	AT3G23150	AT3G27310
Cluster44	AT3G29765	AT4G09660	AT3G29763	AT1G19260	AT2G32870	AT2G32880
Cluster45	AT4G00234	AT4G00290	AT1G70230	AT2G19390	AT4G00980	AT5G64470
Cluster46	ATCG00830	ATCG01310	ATCG00770	ATCG00180	ATCG00520	ATMG01200
Cluster47	ATCG01000	ATCG01130	ATCG00080	ATCG00300	ATCG00800	ATCG00670
Cluster48	AT1G24909	AT1G25155	AT1G24807	AT1G25083	AT1G25220	AT5G57890
Cluster49	AT3G10270	AT5G04130	AT5G27120	AT5G27140	AT2G28600	AT5G56740
Cluster50	AT1G21750	AT1G77510	AT5G58710	AT1G52600	AT2G14610	AT4G14420
Cluster51	AT2G34700	AT4G25140	AT3G27660	AT5G44120	AT4G36700	AT3G63040
Cluster52	AT1G29500	AT5G18060	AT4G34760	AT4G38860	AT1G29460	AT2G28350
Cluster53	AT2G38900	AT5G42800	AT5G54060	AT3G49270	AT3G23600	AT3G53260
Cluster54	AT4G14365	AT2G17040	AT4G39830	AT1G14370	AT3G25610	AT3G60420
Cluster55	AT5G17220	AT4G14090	AT3G50610	AT2G22590	AT4G04750	AT3G20340
Cluster56	AT1G18250	AT3G01410	AT5G44560	AT2G07170	AT3G51290	AT1G63640
Cluster57	AT3G48420	AT5G43750	AT5G07020	AT5G27290	AT1G16080	AT1G04840
Cluster58	AT1G01060	AT2G46830	AT5G06980	AT3G12320	AT3G02380	AT3G17609
Cluster59	AT5G57530	AT3G10710	AT3G24670	AT2G45750	AT1G54970	AT1G12040
Cluster60	AT1G48750	AT5G39950	AT4G01710	AT5G58375	AT2G20930	AT5G40960
Cluster61	AT5G05250	AT5G53450	AT1G47400	AT5G67370	AT5G13740	AT5G67330
Cluster62	AT1G30750	AT2G39430	AT5G10520	AT2G27370	AT2G21100	AT2G37950
Cluster63	AT1G31850	AT1G76670	AT4G34880	AT2G46000	AT3G01220	AT3G09300
Cluster64	AT5G44020	AT3G16240	AT1G17310	AT1G53680	AT4G23400	AT2G35610
Cluster65	AT4G38550	AT1G55450	AT2G26190	AT1G08930	AT5G44070	AT1G33590
Cluster66	AT2G41290	AT4G25250	AT5G51520	AT3G29780	AT3G44450	AT1G16530
Cluster67	AT1G26590	AT1G77200	AT1G18170	AT1G51900	AT2G40670	AT5G18350
Cluster68	AT1G76450	AT1G04420	AT4G34190	AT2G35410	AT2G34860	AT1G71720
Cluster69	AT1G78490	AT3G15500	AT3G46900	AT5G49330	AT1G71200	AT3G16360
Cluster70	AT2G37730	AT5G42900	AT5G61380	AT4G33980	AT5G60100	AT2G40080
Cluster71	AT3G19515	AT4G26620	AT5G15980	AT2G01120	AT4G09680	AT5G53900
Cluster72	AT1G09630	AT5G11980	AT2G34250	AT5G43020	AT4G39860	AT1G48510
Cluster73	AT1G52400	AT1G52410	AT4G15210	AT3G16470	AT3G51870	AT5G49440
Cluster74	AT5G20830	AT2G16060	AT1G55810	AT1G43800	AT3G43190	AT4G24110
Cluster75	AT3G13400	AT1G10770	AT5G45880	AT5G48140	AT4G02250	AT3G20220
Cluster76	AT2G45950	AT3G61415	AT2G07727	ATMG00220	AT5G11740
Cluster77	AT1G34570	AT3G15750	AT1G02830	AT1G23700	AT5G61460
Cluster78	AT4G00238	AT4G00250	AT5G60030	AT5G27110	AT4G07410
Cluster79	ATMG00040	ATMG01080	AT2G07671	AT4G20170	AT5G56510
Cluster80	AT5G38410	AT5G38430	AT5G38420	AT1G67090	AT2G05520
Cluster81	AT3G43550	AT3G43570	AT1G59406	AT1G59030	AT1G58725
Cluster82	AT3G61470	AT5G28450	AT2G26500	AT5G48485	AT2G45770
Cluster83	AT1G15910	AT4G00380	AT1G33540	AT1G10400	AT5G26230
Cluster84	ATMG00170	ATMG00620	AT2G07722	AT4G32500	AT1G22420
Cluster85	AT5G22480	AT5G37340	AT1G63250	AT2G07750	AT3G13160
Cluster86	AT2G37620	AT3G53750	AT1G71060	AT3G46740	AT5G54900
Cluster87	AT5G28370	AT5G28460	AT3G61520	AT1G15480	AT1G20370
Cluster88	AT1G09200	AT3G20670	AT1G16000	AT2G28740	AT1G53070
Cluster89	AT2G28000	AT3G13470	AT5G49910	AT5G56500	AT4G01270
Cluster90	AT5G48570	AT5G52640	AT3G12580	AT5G51440	AT2G26150
Cluster91	AT4G24570	AT3G44260	AT5G51190	AT3G28340	AT2G27080
Cluster92	AT1G42970	AT3G02730	AT3G51820	AT1G71695	AT4G37200
Cluster93	AT1G07370	AT2G07690	AT1G67630	AT5G48600	AT1G51060
Cluster94	AT4G23800	AT2G16270	AT2G28620	AT1G50240	AT1G59540
Cluster95	AT5G11450	AT3G59980	AT5G13650	AT3G25480	AT5G13280
Cluster96	AT1G20680	AT3G21830	AT3G57250	AT1G24000	AT1G12180
Cluster97	AT3G50970	AT4G23630	AT1G27200	AT1G71960	AT5G49280
Cluster98	AT2G31880	AT5G52760	AT5G19240	AT2G33580	AT1G10340
Cluster99	AT3G16250	AT4G18370	AT3G52750	AT5G52100	AT3G25805
Cluster100	AT3G13860	AT1G03860	AT5G42150	AT5G11340	AT5G48030
Cluster101	AT4G02270	AT3G01730	AT5G19800	AT2G46860	AT4G33730
Cluster102	AT5G02160	AT5G24490	AT5G44190	AT1G69890	AT4G24800
Cluster103	AT4G05410	AT2G18520	AT3G56990	AT5G16620	AT4G36020
Cluster104	AT5G59220	AT3G02480	AT5G57610	AT3G15350	AT1G22710
Cluster105	AT2G42840	AT1G64670	AT1G71691	AT3G23730	AT4G03210
Cluster106	AT4G32260	AT3G12780	AT5G66050	AT1G03680	AT2G26340
Cluster107	AT1G52690	AT2G37870	AT4G12430	AT5G66400	AT2G39050
Cluster108	AT2G02515	AT2G30810	AT4G29285	AT3G24510	AT4G32105
Cluster109	AT1G21240	AT5G39670	AT3G52430	AT4G17900	AT4G10540
Cluster110	AT4G33550	AT5G16400	AT3G49760	AT5G07990	AT5G13170
Cluster111	AT1G28330	AT2G33830	AT5G10860	AT2G38710	AT1G30200
Cluster112	AT2G43360	AT1G51570	AT2G36570	AT5G66750	AT4G01220
Cluster113	AT2G20560	AT2G41160	AT1G07350	AT4G23570	AT2G41170
Cluster114	AT5G25450	AT5G64510	AT5G47830	AT2G19310	AT5G58787
Cluster115	AT3G57610	AT3G56750	AT3G09480	AT1G56050	AT2G26060
Cluster116	AT2G18660	AT4G04500	AT1G35230	AT3G47480	AT4G34770
Cluster117	AT3G02550	AT1G19530	AT5G47910	AT1G63090	AT5G41080
Cluster118	AT4G04770	AT5G01600	AT2G36885	AT2G40300	AT4G32690
Cluster119	AT5G10180	AT2G30490	AT5G48880	AT4G34138	AT2G37040
Cluster120	AT2G03150	AT5G55660	AT1G48650	AT1G61850	AT3G05130
Cluster121	AT5G42050	AT3G52800	AT2G28400	AT4G17230	AT4G05020
Cluster122	AT3G49100	AT3G06310	AT2G01640	AT5G14105	AT1G10630
Cluster123	AT5G41670	AT2G15620	AT5G13110	AT4G05390	AT5G40850
Cluster124	AT5G60520	AT2G43535	AT1G14220	AT5G56980	AT5G04820
Cluster125	AT4G29735	AT4G00860	AT4G20150	AT5G47570	AT4G10810
Cluster126	AT5G05510	AT3G23330	AT5G52850	AT1G49560	AT3G02660
Cluster127	AT4G33640	AT1G77710	AT3G57320	AT5G07960	AT5G62575
Cluster128	AT5G04750	AT3G14430	AT2G47710	AT3G52090	AT3G51890
Cluster129	AT5G45300	AT5G56910	AT3G21170	AT5G51260	AT5G39990
Cluster130	AT5G42890	AT5G55290	AT4G22310	AT2G40880	AT5G20885
Cluster131	AT1G01140	AT5G14780	AT4G33810	AT3G48990	AT3G06810
Cluster132	AT1G76200	AT2G03680	AT2G35520	AT4G27230	AT4G16450
Cluster133	AT1G75220	AT5G22360	AT4G11980	AT4G27180	AT5G20840
Cluster134	AT1G72830	AT3G49340	AT5G58660	AT1G80640	ATMG00740
Cluster135	AT1G49300	AT5G64370	AT5G20990	AT5G45800	AT3G27820
Cluster136	AT5G04740	AT5G40760	AT5G51040	AT1G76520	AT5G54620
Cluster137	AT4G33070	AT2G17850	AT3G03270	AT5G47060	AT4G01120
Cluster138	AT4G29190	AT1G77760	AT3G27770	AT3G54290	AT4G01026
Cluster139	AT5G64140	AT1G30230	AT2G18110	AT4G36390
Cluster140	AT3G49910	AT4G33250	AT1G09150	AT2G35310
Cluster141	AT3G19710	AT3G03190	AT2G41480	AT4G33420
Cluster142	AT3G11120	AT3G56020	AT3G08520	AT2G40205
Cluster143	AT2G27780	AT5G27310	AT2G13640	AT2G34020
Cluster144	AT1G20140	AT2G25700	AT2G07777	ATMG01090
Cluster145	ATMG00490	ATMG00500	AT2G07708	ATCG00780
Cluster146	AT1G25112	AT1G25180	AT1G25025	AT1G24851
Cluster147	AT5G39150	AT5G39180	AT5G39120	AT5G39110
Cluster148	AT2G16370	AT4G34570	AT3G55010	AT5G67100
Cluster149	AT2G46430	AT2G46440	AT5G02560	AT5G47550
Cluster150	AT4G25300	AT4G25310	AT3G26980	AT3G50900
Cluster151	AT3G60990	AT5G48190	AT3G07380	AT3G10580
Cluster152	AT5G37810	AT5G37820	AT1G68540	AT1G75490
Cluster153	AT1G19660	AT1G75380	AT2G28800	AT2G40900
Cluster154	ATCG00905	ATCG01230	ATCG00120	ATMG00830
Cluster155	AT1G62080	AT1G62220	AT1G62060	AT1G62000
Cluster156	AT3G45030	AT5G62300	AT5G54580	AT1G57590
Cluster157	AT1G06870	AT2G30440	AT1G09970	AT3G24170
Cluster158	AT5G24950	AT5G24960	AT5G51500	AT1G59830
Cluster159	AT1G61300	AT1G61310	AT1G61190	AT1G61180
Cluster160	ATMG00440	ATMG01140	AT2G07702	AT3G28980
Cluster161	AT1G06220	AT5G25230	AT3G60830	AT2G27230
Cluster162	AT5G39800	AT5G40080	AT5G61220	AT2G27590
Cluster163	AT1G78850	AT1G78860	AT2G44490	AT1G37130
Cluster164	AT1G59077	AT1G59453	AT1G58766	AT1G17450
Cluster165	AT1G33120	AT1G33140	AT1G29990	AT1G80410
Cluster166	AT1G11520	AT4G21660	AT3G22980	AT1G13410
Cluster167	AT1G13060	AT3G26340	AT1G78300	AT3G12560
Cluster168	AT3G03780	AT5G17920	AT2G26730	AT4G32010
Cluster169	AT2G03330	AT3G11810	AT2G35800	AT2G36360
Cluster170	AT1G48490	AT3G17850	AT3G22440	AT3G12130
Cluster171	AT1G08380	AT4G03050	AT3G21055	AT3G01140
Cluster172	AT1G52220	AT4G16410	AT3G53470	AT5G35490
Cluster173	AT1G43790	AT1G20850	AT4G00230	AT2G37460
Cluster174	AT2G43460	AT3G52420	AT3G60980	AT1G64750
Cluster175	AT1G07320	AT1G74970	AT2G35500	AT4G27600
Cluster176	AT5G47700	AT3G12650	AT3G13175	AT1G24050
Cluster177	AT4G31840	AT3G02120	AT5G52170	AT2G42110
Cluster178	AT2G33800	AT1G01080	AT5G55220	AT3G29185
Cluster179	AT3G23620	AT5G60990	AT1G15420	AT3G19440
Cluster180	AT1G68010	AT2G39730	AT5G04140	AT3G52840
Cluster181	AT3G55980	AT1G32920	AT1G29690	AT3G16720
Cluster182	AT5G20890	AT1G24510	AT5G26710	AT4G20980
Cluster183	AT5G10390	AT5G23420	AT3G03220	AT4G14330
Cluster184	AT2G23810	AT4G34150	AT5G11650	AT1G59910
Cluster185	AT5G64840	AT5G67030	AT4G13010	AT1G68830
Cluster186	AT5G57560	AT4G34710	AT3G20470	AT4G08780
Cluster187	AT3G54640	AT3G60450	AT3G28930	AT4G35630
Cluster188	AT1G80840	AT3G02840	AT2G22880	AT3G23250
Cluster189	AT5G02760	AT2G01420	AT4G32280	AT5G09970
Cluster190	AT1G05260	AT4G11290	AT5G57740	AT4G38220
Cluster191	AT1G52670	AT3G05020	AT3G57860	AT3G09090
Cluster192	AT5G60960	AT5G57120	AT2G38550	AT2G18910
Cluster193	AT2G44860	AT5G64680	AT2G46230	AT3G22320
Cluster194	AT2G42740	AT3G61100	AT1G76405	AT5G06210
Cluster195	AT5G08020	AT2G31270	AT5G43080	AT3G12170
Cluster196	AT2G42830	AT2G28650	AT1G49450	AT1G19780
Cluster197	AT3G52730	AT5G23460	AT2G20820	AT2G03350
Cluster198	AT5G08620	AT1G06560	AT1G72040	AT5G41190
Cluster199	AT1G35140	AT5G57260	AT5G51550	AT2G34510
Cluster200	AT1G06040	AT3G47500	AT3G26290	AT4G19170
Cluster201	AT1G23390	AT3G59940	AT1G13700	AT3G23880
Cluster202	AT1G15370	AT5G47420	AT3G15580	AT3G47510
Cluster203	AT4G32830	AT2G25880	AT5G02370	AT1G27930
Cluster204	AT5G20250	AT3G06070	AT5G05440	AT1G25550
Cluster205	AT4G29950	AT5G24460	AT4G11570	AT1G73920
Cluster206	AT5G66815	AT4G25010	AT1G50090	AT1G04330
Cluster207	AT1G55260	AT4G25960	AT5G06270	AT5G58670
Cluster208	AT5G10760	AT4G29810	AT4G24030	AT5G50910
Cluster209	AT1G72970	AT4G14770	AT4G27240	AT3G63160
Cluster210	AT4G08850	AT4G03450	AT3G51920	AT1G29970
Cluster211	AT5G35970	AT3G16520	AT4G25910	AT1G07700
Cluster212	AT3G49530	AT3G57530	AT5G58430	AT2G05940
Cluster213	AT1G44970	AT2G32300	AT5G63590	AT1G03920
Cluster214	AT3G19130	AT2G29980	AT3G17820	AT3G66658
Cluster215	AT5G24840	AT1G54380	AT5G49555	AT5G52910
Cluster216	AT2G36530	AT3G08580	AT3G22110	AT2G38130
Cluster217	AT5G40480	AT1G67120	AT5G13680	AT5G61140
Cluster218	AT3G52060	AT4G35860	AT5G17010	AT3G49590
Cluster219	ATCG00340	ATCG00790	ATCG00540	AT3G02930
Cluster220	AT1G66360	AT5G15290	AT1G65130	AT1G69230
Cluster221	AT2G22400	AT5G59460	AT5G17270	AT4G16700
Cluster222	AT1G73120	AT3G61930	AT1G49820	AT3G27580
Cluster223	AT2G43520	AT3G23605	AT3G58770	AT1G24400
Cluster224	AT3G02530	AT1G01090	AT5G23880	AT3G59820
Cluster225	AT3G11660	AT5G18290	AT4G28040	AT3G20300
Cluster226	AT2G29350	AT1G73260	AT3G04070	AT1G33811
Cluster227	AT2G17840	AT3G27210	AT5G07920	AT3G20500
