node1	node2	score	edge_type
AT2G01200	AT1G03630	1	AT-UU-DU-67-AA-01
AT2G01200	AT1G16440	1	AT-UU-DU-67-AA-01
AT2G01200	AT1G71050	1	AT-UU-DU-67-AA-01
AT2G01220	AT1G71050	1	AT-UU-DU-67-AA-01
AT2G01240	AT1G71050	1	AT-UU-DU-67-AA-01
AT2G01270	AT1G03630	1	AT-UU-DU-67-AA-01
AT2G01270	AT1G76170	1	AT-UU-DU-67-AA-01
AT2G01275	AT1G03630	1	AT-UU-DU-67-AA-01
AT2G01275	AT1G06710	1	AT-UU-DU-67-AA-01
AT2G01275	AT1G76170	1	AT-UU-DU-67-AA-01
AT2G01275	AT1G76240	1	AT-UU-DU-67-AA-01
AT2G04034	AT1G12630	1	AT-UU-DU-67-AA-01
AT2G04090	AT1G12270	1	AT-UU-DU-67-AA-01
AT2G04090	AT1G12630	1	AT-UU-DU-67-AA-01
AT2G04100	AT1G12630	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G02205	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12180	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12270	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12290	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12420	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12430	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12570	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12580	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12620	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12630	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12665	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12672	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12680	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12700	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12710	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12730	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12790	1	AT-UU-DU-67-AA-01
AT2G04220	AT1G12800	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G02205	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G02520	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G11710	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G11740	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G11770	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G11780	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12180	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12270	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12290	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12390	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12420	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12430	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12560	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12570	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12580	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12620	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12630	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12665	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12672	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12680	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12700	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12710	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12730	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12750	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12790	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12800	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12820	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G12980	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G75388	1	AT-UU-DU-67-AA-01
AT2G04230	AT1G75390	1	AT-UU-DU-67-AA-01
AT2G04240	AT1G12430	1	AT-UU-DU-67-AA-01
