node1	node2	score	edge_type
AT5G42800	AT4G22870	29.6026	AT-UU-GA-01-AA-01
AT5G54060	AT1G03495	27.0605	AT-UU-GA-01-AA-01
AT4G14090	AT1G03495	23.1513	AT-UU-GA-01-AA-01
AT3G29590	AT1G03495	22.018	AT-UU-GA-01-AA-01
AT4G10580	AT2G14650	21.623	AT-UU-GA-01-AA-01
AT4G14090	AT5G54060	21.5614	AT-UU-GA-01-AA-01
AT5G54060	AT3G29590	21.0933	AT-UU-GA-01-AA-01
AT3G31970	AT2G14650	20.2433	AT-UU-GA-01-AA-01
AT3G51590	AT1G68875	19.5203	AT-UU-GA-01-AA-01
AT5G07550	AT1G66850	18.9061	AT-UU-GA-01-AA-01
AT4G10580	AT3G31970	18.629	AT-UU-GA-01-AA-01
AT5G07550	AT5G07560	18.4877	AT-UU-GA-01-AA-01
AT4G14090	AT3G29590	18.4648	AT-UU-GA-01-AA-01
AT1G61566	AT2G47040	18.2768	AT-UU-GA-01-AA-01
AT3G13400	AT1G61566	18.1715	AT-UU-GA-01-AA-01
AT5G07550	AT1G75930	18.0261	AT-UU-GA-01-AA-01
AT5G07560	AT1G75930	17.9098	AT-UU-GA-01-AA-01
AT3G13400	AT3G07850	17.9065	AT-UU-GA-01-AA-01
AT3G13400	AT1G02790	17.9028	AT-UU-GA-01-AA-01
AT3G13400	AT2G47040	17.9024	AT-UU-GA-01-AA-01
AT5G49180	AT4G12960	17.7502	AT-UU-GA-01-AA-01
AT5G59320	AT5G59310	17.748	AT-UU-GA-01-AA-01
AT5G60140	AT4G09960	17.7151	AT-UU-GA-01-AA-01
AT3G07850	AT1G02790	17.702	AT-UU-GA-01-AA-01
AT1G02790	AT1G61566	17.6467	AT-UU-GA-01-AA-01
AT3G07850	AT1G61566	17.6153	AT-UU-GA-01-AA-01
AT1G68875	AT1G75940	17.5368	AT-UU-GA-01-AA-01
AT3G51590	AT1G66850	17.5014	AT-UU-GA-01-AA-01
AT3G13400	AT3G07820	17.4597	AT-UU-GA-01-AA-01
AT3G52130	AT3G07450	17.4427	AT-UU-GA-01-AA-01
AT5G49180	AT1G24540	17.4266	AT-UU-GA-01-AA-01
AT3G07820	AT1G61566	17.4196	AT-UU-GA-01-AA-01
AT1G02790	AT2G47040	17.3943	AT-UU-GA-01-AA-01
AT5G07410	AT3G07850	17.3688	AT-UU-GA-01-AA-01
AT3G07850	AT2G47040	17.3577	AT-UU-GA-01-AA-01
AT3G07820	AT2G47040	17.3416	AT-UU-GA-01-AA-01
AT5G07550	AT5G07530	17.2837	AT-UU-GA-01-AA-01
AT5G17220	AT4G22870	17.2286	AT-UU-GA-01-AA-01
AT4G34410	AT4G29780	17.2194	AT-UU-GA-01-AA-01
AT3G07820	AT1G02790	17.108	AT-UU-GA-01-AA-01
AT4G14080	AT5G07230	17.0861	AT-UU-GA-01-AA-01
AT3G23290	AT2G42610	17.0571	AT-UU-GA-01-AA-01
AT1G66850	AT3G15400	16.999	AT-UU-GA-01-AA-01
AT3G51590	AT1G75940	16.9916	AT-UU-GA-01-AA-01
AT3G07820	AT3G01270	16.9544	AT-UU-GA-01-AA-01
AT5G07410	AT1G02790	16.9394	AT-UU-GA-01-AA-01
AT5G07430	AT3G07820	16.936	AT-UU-GA-01-AA-01
AT3G28750	AT3G13400	16.9359	AT-UU-GA-01-AA-01
AT5G07560	AT1G66850	16.9179	AT-UU-GA-01-AA-01
AT3G28750	AT3G07820	16.91	AT-UU-GA-01-AA-01
AT3G28830	AT3G07850	16.887	AT-UU-GA-01-AA-01
AT5G07410	AT3G13400	16.8782	AT-UU-GA-01-AA-01
AT3G13400	AT3G01270	16.8488	AT-UU-GA-01-AA-01
AT5G07410	AT3G28830	16.8084	AT-UU-GA-01-AA-01
AT4G35010	AT3G13400	16.7767	AT-UU-GA-01-AA-01
AT1G66850	AT1G68875	16.7685	AT-UU-GA-01-AA-01
AT3G01270	AT1G02790	16.7655	AT-UU-GA-01-AA-01
AT4G35010	AT3G07820	16.7604	AT-UU-GA-01-AA-01
AT3G51590	AT3G15400	16.7422	AT-UU-GA-01-AA-01
AT5G07230	AT1G61070	16.7366	AT-UU-GA-01-AA-01
AT1G66850	AT1G75930	16.7342	AT-UU-GA-01-AA-01
AT3G01270	AT1G61566	16.7088	AT-UU-GA-01-AA-01
AT3G28830	AT1G02790	16.7008	AT-UU-GA-01-AA-01
AT5G16920	AT1G61070	16.6745	AT-UU-GA-01-AA-01
AT5G07430	AT3G13400	16.6646	AT-UU-GA-01-AA-01
AT5G07430	AT3G01270	16.6138	AT-UU-GA-01-AA-01
AT3G28750	AT1G61566	16.5923	AT-UU-GA-01-AA-01
AT5G45880	AT1G61566	16.5881	AT-UU-GA-01-AA-01
AT5G62080	AT5G07230	16.5802	AT-UU-GA-01-AA-01
AT1G61070	AT1G02813	16.5725	AT-UU-GA-01-AA-01
AT3G28750	AT1G02790	16.5679	AT-UU-GA-01-AA-01
AT5G07550	AT1G68875	16.5582	AT-UU-GA-01-AA-01
AT5G16920	AT5G07230	16.5394	AT-UU-GA-01-AA-01
AT4G35010	AT1G02790	16.5374	AT-UU-GA-01-AA-01
AT1G25330	AT1G72290	16.5333	AT-UU-GA-01-AA-01
AT3G62170	AT1G02790	16.5288	AT-UU-GA-01-AA-01
AT3G62170	AT3G13400	16.5271	AT-UU-GA-01-AA-01
AT3G07820	AT3G07850	16.521	AT-UU-GA-01-AA-01
AT3G57690	AT1G02790	16.5174	AT-UU-GA-01-AA-01
AT5G07430	AT4G35010	16.5148	AT-UU-GA-01-AA-01
AT5G07230	AT1G02813	16.5049	AT-UU-GA-01-AA-01
AT4G14080	AT1G62940	16.4692	AT-UU-GA-01-AA-01
AT4G22870	AT1G03495	16.465	AT-UU-GA-01-AA-01
AT4G35010	AT3G01270	16.4628	AT-UU-GA-01-AA-01
AT1G75910	AT1G75930	16.4522	AT-UU-GA-01-AA-01
AT5G07530	AT1G75930	16.4355	AT-UU-GA-01-AA-01
AT5G45880	AT2G47040	16.4352	AT-UU-GA-01-AA-01
AT5G07430	AT1G61566	16.434	AT-UU-GA-01-AA-01
AT3G28750	AT3G01270	16.4302	AT-UU-GA-01-AA-01
AT3G62170	AT3G28830	16.428	AT-UU-GA-01-AA-01
AT4G14080	AT5G62080	16.4247	AT-UU-GA-01-AA-01
AT3G52130	AT4G20420	16.424	AT-UU-GA-01-AA-01
AT3G62170	AT3G07850	16.4148	AT-UU-GA-01-AA-01
AT3G28750	AT2G47040	16.4078	AT-UU-GA-01-AA-01
AT4G14080	AT3G42960	16.4074	AT-UU-GA-01-AA-01
AT3G01270	AT2G47040	16.4046	AT-UU-GA-01-AA-01
AT5G07430	AT3G28750	16.401	AT-UU-GA-01-AA-01
AT3G28830	AT3G13400	16.3977	AT-UU-GA-01-AA-01
AT4G35010	AT3G28750	16.395	AT-UU-GA-01-AA-01
AT5G07410	AT1G61566	16.3876	AT-UU-GA-01-AA-01
AT5G07430	AT2G47040	16.3696	AT-UU-GA-01-AA-01
AT5G07430	AT1G02790	16.3668	AT-UU-GA-01-AA-01
AT4G14080	AT4G34850	16.3656	AT-UU-GA-01-AA-01
AT5G16920	AT1G02813	16.3582	AT-UU-GA-01-AA-01
AT5G07560	AT1G68875	16.3514	AT-UU-GA-01-AA-01
AT1G66850	AT1G75940	16.3438	AT-UU-GA-01-AA-01
AT3G57690	AT3G13400	16.3434	AT-UU-GA-01-AA-01
AT3G57690	AT3G28830	16.3374	AT-UU-GA-01-AA-01
AT3G28830	AT3G28790	16.3142	AT-UU-GA-01-AA-01
AT4G14080	AT5G16920	16.3139	AT-UU-GA-01-AA-01
AT4G35010	AT1G61566	16.2949	AT-UU-GA-01-AA-01
AT5G07410	AT2G47040	16.2943	AT-UU-GA-01-AA-01
AT1G68875	AT1G75930	16.2561	AT-UU-GA-01-AA-01
AT4G35010	AT2G47040	16.2543	AT-UU-GA-01-AA-01
AT5G07560	AT3G51590	16.2439	AT-UU-GA-01-AA-01
AT4G34410	AT4G27654	16.2301	AT-UU-GA-01-AA-01
AT3G12000	AT1G72290	16.224	AT-UU-GA-01-AA-01
AT3G57690	AT3G07850	16.2221	AT-UU-GA-01-AA-01
AT5G07560	AT3G25050	16.2162	AT-UU-GA-01-AA-01
AT3G28790	AT3G28980	16.2051	AT-UU-GA-01-AA-01
AT3G07820	AT3G01240	16.1911	AT-UU-GA-01-AA-01
AT5G23960	AT1G30795	16.1852	AT-UU-GA-01-AA-01
AT4G14080	AT1G61070	16.1793	AT-UU-GA-01-AA-01
AT3G28830	AT1G55570	16.1769	AT-UU-GA-01-AA-01
AT5G07410	AT3G62170	16.1761	AT-UU-GA-01-AA-01
AT5G07560	AT1G75910	16.164	AT-UU-GA-01-AA-01
AT3G15400	AT1G68875	16.162	AT-UU-GA-01-AA-01
AT3G28830	AT3G28980	16.1443	AT-UU-GA-01-AA-01
AT1G75910	AT1G75940	16.1399	AT-UU-GA-01-AA-01
AT1G25330	AT3G12000	16.1375	AT-UU-GA-01-AA-01
AT3G25050	AT1G75910	16.1318	AT-UU-GA-01-AA-01
AT4G12890	AT1G24540	16.1264	AT-UU-GA-01-AA-01
AT3G62170	AT3G01270	16.1171	AT-UU-GA-01-AA-01
AT4G12960	AT1G24540	16.1021	AT-UU-GA-01-AA-01
AT3G52130	AT4G29980	16.0985	AT-UU-GA-01-AA-01
AT1G75930	AT1G75940	16.0971	AT-UU-GA-01-AA-01
AT5G45880	AT3G13400	16.0965	AT-UU-GA-01-AA-01
AT3G62170	AT3G07820	16.0927	AT-UU-GA-01-AA-01
AT5G58782	AT4G32170	16.092	AT-UU-GA-01-AA-01
AT3G07850	AT3G01270	16.0795	AT-UU-GA-01-AA-01
AT5G07550	AT3G51590	16.0648	AT-UU-GA-01-AA-01
AT3G15400	AT1G75940	16.0591	AT-UU-GA-01-AA-01
AT5G44440	AT4G21630	16.0426	AT-UU-GA-01-AA-01
AT1G28270	AT3G07820	16.0422	AT-UU-GA-01-AA-01
AT4G28500	AT1G09610	16.0303	AT-UU-GA-01-AA-01
AT4G35010	AT3G07850	16.0207	AT-UU-GA-01-AA-01
AT3G28750	AT3G07850	16.0012	AT-UU-GA-01-AA-01
AT4G14815	AT1G74540	15.993	AT-UU-GA-01-AA-01
AT5G07530	AT5G07560	15.9857	AT-UU-GA-01-AA-01
AT1G28270	AT4G35010	15.9832	AT-UU-GA-01-AA-01
AT5G07430	AT3G01240	15.9806	AT-UU-GA-01-AA-01
AT1G28270	AT3G01270	15.9781	AT-UU-GA-01-AA-01
AT3G62170	AT1G61566	15.9697	AT-UU-GA-01-AA-01
AT3G52130	AT4G34850	15.9625	AT-UU-GA-01-AA-01
AT5G07230	AT3G42960	15.9577	AT-UU-GA-01-AA-01
AT4G34850	AT1G62940	15.9464	AT-UU-GA-01-AA-01
AT5G61720	AT3G28830	15.9387	AT-UU-GA-01-AA-01
AT3G62170	AT4G35010	15.938	AT-UU-GA-01-AA-01
AT3G28830	AT1G29140	15.9289	AT-UU-GA-01-AA-01
AT5G62080	AT1G61070	15.9238	AT-UU-GA-01-AA-01
AT3G01240	AT3G01270	15.9192	AT-UU-GA-01-AA-01
AT5G07410	AT3G57690	15.9133	AT-UU-GA-01-AA-01
AT3G23770	AT1G01280	15.9074	AT-UU-GA-01-AA-01
AT4G14815	AT1G13140	15.8996	AT-UU-GA-01-AA-01
AT3G62170	AT3G57690	15.8991	AT-UU-GA-01-AA-01
AT5G07410	AT3G07820	15.8956	AT-UU-GA-01-AA-01
AT5G07560	AT1G75940	15.8915	AT-UU-GA-01-AA-01
AT5G14380	AT3G07820	15.8819	AT-UU-GA-01-AA-01
AT5G45880	AT3G07820	15.8812	AT-UU-GA-01-AA-01
AT5G07410	AT4G35010	15.8792	AT-UU-GA-01-AA-01
AT3G11980	AT3G23770	15.8754	AT-UU-GA-01-AA-01
AT4G29980	AT3G07450	15.8684	AT-UU-GA-01-AA-01
AT5G07430	AT3G07850	15.8674	AT-UU-GA-01-AA-01
AT4G35010	AT3G01240	15.8551	AT-UU-GA-01-AA-01
AT5G16920	AT5G62080	15.8543	AT-UU-GA-01-AA-01
AT3G62170	AT1G55570	15.8509	AT-UU-GA-01-AA-01
AT4G12960	AT4G12890	15.8503	AT-UU-GA-01-AA-01
AT1G68875	AT1G75910	15.8502	AT-UU-GA-01-AA-01
AT1G28270	AT3G28750	15.8469	AT-UU-GA-01-AA-01
AT3G25050	AT1G75930	15.8468	AT-UU-GA-01-AA-01
AT1G29140	AT1G55570	15.8322	AT-UU-GA-01-AA-01
AT3G62170	AT1G29140	15.8318	AT-UU-GA-01-AA-01
AT4G34850	AT4G20420	15.8312	AT-UU-GA-01-AA-01
AT3G57690	AT1G61566	15.8165	AT-UU-GA-01-AA-01
AT5G14380	AT3G01270	15.8097	AT-UU-GA-01-AA-01
AT3G51590	AT1G33430	15.8036	AT-UU-GA-01-AA-01
AT5G14380	AT4G35010	15.7988	AT-UU-GA-01-AA-01
AT3G62170	AT3G28750	15.7931	AT-UU-GA-01-AA-01
AT3G62170	AT2G47040	15.7893	AT-UU-GA-01-AA-01
AT4G14815	AT3G51590	15.786	AT-UU-GA-01-AA-01
AT5G07550	AT3G15400	15.7859	AT-UU-GA-01-AA-01
AT1G28270	AT5G07430	15.7842	AT-UU-GA-01-AA-01
AT5G07550	AT1G75940	15.7661	AT-UU-GA-01-AA-01
AT5G38760	AT3G28790	15.7611	AT-UU-GA-01-AA-01
AT5G07550	AT1G75910	15.756	AT-UU-GA-01-AA-01
AT4G35010	AT1G29140	15.7527	AT-UU-GA-01-AA-01
AT3G57690	AT3G01270	15.7518	AT-UU-GA-01-AA-01
AT3G26140	AT1G72290	15.7372	AT-UU-GA-01-AA-01
AT3G42960	AT4G34850	15.7173	AT-UU-GA-01-AA-01
AT5G42800	AT5G17220	15.7129	AT-UU-GA-01-AA-01
AT1G29140	AT1G02790	15.7113	AT-UU-GA-01-AA-01
AT1G28270	AT3G13400	15.7095	AT-UU-GA-01-AA-01
AT5G07410	AT3G28980	15.7083	AT-UU-GA-01-AA-01
AT4G20420	AT3G07450	15.7058	AT-UU-GA-01-AA-01
AT5G14380	AT1G02790	15.7043	AT-UU-GA-01-AA-01
AT1G28270	AT1G02790	15.7035	AT-UU-GA-01-AA-01
AT5G07560	AT3G15400	15.7014	AT-UU-GA-01-AA-01
AT5G62080	AT4G34850	15.6923	AT-UU-GA-01-AA-01
AT4G35010	AT3G28830	15.689	AT-UU-GA-01-AA-01
AT5G61720	AT1G55570	15.6848	AT-UU-GA-01-AA-01
AT5G07230	AT1G62940	15.6834	AT-UU-GA-01-AA-01
AT3G28830	AT3G01270	15.6749	AT-UU-GA-01-AA-01
AT5G14380	AT3G13400	15.6723	AT-UU-GA-01-AA-01
AT3G01270	AT1G29140	15.6673	AT-UU-GA-01-AA-01
AT3G15400	AT1G75930	15.667	AT-UU-GA-01-AA-01
AT5G07430	AT3G62170	15.6661	AT-UU-GA-01-AA-01
AT5G07230	AT4G34850	15.6608	AT-UU-GA-01-AA-01
AT4G28395	AT1G67990	15.6595	AT-UU-GA-01-AA-01
AT5G07410	AT5G07430	15.6451	AT-UU-GA-01-AA-01
AT5G62080	AT3G52130	15.6407	AT-UU-GA-01-AA-01
AT5G16920	AT3G11980	15.6373	AT-UU-GA-01-AA-01
AT3G57690	AT4G35010	15.6152	AT-UU-GA-01-AA-01
AT3G28830	AT3G07820	15.6143	AT-UU-GA-01-AA-01
AT5G07410	AT1G29140	15.6046	AT-UU-GA-01-AA-01
AT5G48210	AT2G19070	15.6012	AT-UU-GA-01-AA-01
AT4G14815	AT1G68875	15.6009	AT-UU-GA-01-AA-01
AT5G38760	AT3G28980	15.5892	AT-UU-GA-01-AA-01
AT5G16920	AT3G42960	15.5781	AT-UU-GA-01-AA-01
AT5G14380	AT5G07430	15.5757	AT-UU-GA-01-AA-01
AT5G07410	AT3G28790	15.5754	AT-UU-GA-01-AA-01
AT3G07820	AT1G29140	15.5677	AT-UU-GA-01-AA-01
AT1G66850	AT3G25050	15.558	AT-UU-GA-01-AA-01
AT3G01240	AT1G61566	15.5541	AT-UU-GA-01-AA-01
AT1G25330	AT3G26140	15.5488	AT-UU-GA-01-AA-01
AT3G28830	AT1G61566	15.5399	AT-UU-GA-01-AA-01
AT3G57690	AT1G29140	15.5398	AT-UU-GA-01-AA-01
AT5G16920	AT3G57620	15.5387	AT-UU-GA-01-AA-01
AT5G07550	AT3G25050	15.5386	AT-UU-GA-01-AA-01
AT4G14080	AT3G23770	15.5351	AT-UU-GA-01-AA-01
