node1	node2	score	edge_type
AT5G26820	AT5G46330	1	AT-UU-KS-00-AA-01
AT2G25680	AT3G18440	1	AT-UU-KS-00-AA-01
AT5G34850	AT3G26570	1	AT-UU-KS-00-AA-01
AT1G18570	AT4G39030	1	AT-UU-KS-00-AA-01
AT1G18570	AT2G35100	1	AT-UU-KS-00-AA-01
AT2G47460	AT4G39030	1	AT-UU-KS-00-AA-01
AT2G47460	AT2G35100	1	AT-UU-KS-00-AA-01
AT2G03220	AT4G39030	1	AT-UU-KS-00-AA-01
AT2G03220	AT2G35100	1	AT-UU-KS-00-AA-01
AT2G25680	AT4G26200	1	AT-UU-KS-00-AA-01
AT2G25680	AT3G11480	1	AT-UU-KS-00-AA-01
AT2G25680	AT4G32770	1	AT-UU-KS-00-AA-01
AT4G33030	AT4G39030	1	AT-UU-KS-00-AA-01
AT2G25680	AT1G64970	1	AT-UU-KS-00-AA-01
AT2G25680	AT5G24300	1	AT-UU-KS-00-AA-01
AT2G25680	AT5G01220	1	AT-UU-KS-00-AA-01
AT2G25680	AT3G26570	1	AT-UU-KS-00-AA-01
AT2G25680	AT5G34850	1	AT-UU-KS-00-AA-01
AT3G53130	AT4G39030	1	AT-UU-KS-00-AA-01
AT3G53130	AT2G35100	1	AT-UU-KS-00-AA-01
AT1G27950	AT4G26200	1	AT-UU-KS-00-AA-01
AT1G27950	AT3G11480	1	AT-UU-KS-00-AA-01
AT5G34850	AT5G24300	1	AT-UU-KS-00-AA-01
AT5G34850	AT1G64970	1	AT-UU-KS-00-AA-01
AT5G34850	AT4G32770	1	AT-UU-KS-00-AA-01
AT5G34850	AT3G18440	1	AT-UU-KS-00-AA-01
AT3G26570	AT3G11480	1	AT-UU-KS-00-AA-01
AT3G26570	AT3G18440	1	AT-UU-KS-00-AA-01
AT3G26570	AT4G32770	1	AT-UU-KS-00-AA-01
AT3G26570	AT1G64970	1	AT-UU-KS-00-AA-01
AT3G26570	AT5G24300	1	AT-UU-KS-00-AA-01
AT3G26570	AT5G01220	1	AT-UU-KS-00-AA-01
AT5G51820	AT4G39030	1	AT-UU-KS-00-AA-01
AT2G35100	AT4G36220	1	AT-UU-KS-00-AA-01
AT2G35100	AT5G05580	1	AT-UU-KS-00-AA-01
AT2G35100	AT3G14210	1	AT-UU-KS-00-AA-01
AT2G35100	AT2G34490	1	AT-UU-KS-00-AA-01
AT2G35100	AT5G40890	1	AT-UU-KS-00-AA-01
AT2G35100	AT1G03310	1	AT-UU-KS-00-AA-01
AT2G35100	AT3G02870	1	AT-UU-KS-00-AA-01
AT2G35100	AT1G61120	1	AT-UU-KS-00-AA-01
AT2G35100	AT4G33030	1	AT-UU-KS-00-AA-01
AT2G35100	AT5G51820	1	AT-UU-KS-00-AA-01
AT5G34850	AT4G26200	1	AT-UU-KS-00-AA-01
AT5G34850	AT3G11480	1	AT-UU-KS-00-AA-01
AT1G27950	AT3G18440	1	AT-UU-KS-00-AA-01
AT1G27950	AT4G32770	1	AT-UU-KS-00-AA-01
