node1	node2	score	edge_type
AT5G60548	AT5G60550	1	AT-UU-PY-01-LF-01
AT2G16250	AT4G11400	1	AT-UU-PY-01-LF-01
AT1G80070	AT1G77470	1	AT-UU-PY-01-LF-01
AT5G59290	AT5G42970	1	AT-UU-PY-01-LF-01
AT3G26782	AT3G42670	1	AT-UU-PY-01-LF-01
AT5G48400	AT5G48390	1	AT-UU-PY-01-LF-01
AT5G14460	AT2G33800	1	AT-UU-PY-01-LF-01
AT1G59660	AT5G01210	1	AT-UU-PY-01-LF-01
AT5G65685	AT4G33060	1	AT-UU-PY-01-LF-01
AT3G03650	AT1G64850	1	AT-UU-PY-01-LF-01
AT5G64210	AT5G40390	1	AT-UU-PY-01-LF-01
AT1G33410	AT1G32490	1	AT-UU-PY-01-LF-01
AT2G13290	AT2G20780	1	AT-UU-PY-01-LF-01
AT2G46660	AT4G34990	1	AT-UU-PY-01-LF-01
AT3G44820	AT2G22450	1	AT-UU-PY-01-LF-01
AT5G63950	AT5G03290	1	AT-UU-PY-01-LF-01
AT4G34260	AT4G34610	1	AT-UU-PY-01-LF-01
AT3G50240	AT3G14210	1	AT-UU-PY-01-LF-01
AT1G09820	AT2G28080	1	AT-UU-PY-01-LF-01
AT5G61780	AT5G64220	1	AT-UU-PY-01-LF-01
AT2G04360	AT2G04340	1	AT-UU-PY-01-LF-01
AT5G25100	AT2G07560	1	AT-UU-PY-01-LF-01
AT2G17110	AT2G26080	1	AT-UU-PY-01-LF-01
AT3G62330	AT1G54240	1	AT-UU-PY-01-LF-01
AT1G62020	AT1G57700	1	AT-UU-PY-01-LF-01
AT4G21270	AT4G21410	1	AT-UU-PY-01-LF-01
AT1G04050	AT5G18710	1	AT-UU-PY-01-LF-01
AT3G59100	AT3G54750	1	AT-UU-PY-01-LF-01
AT1G56440	AT5G47370	1	AT-UU-PY-01-LF-01
AT1G16020	AT1G17470	1	AT-UU-PY-01-LF-01
AT1G76010	AT4G35240	1	AT-UU-PY-01-LF-01
AT1G04430	AT5G62090	1	AT-UU-PY-01-LF-01
AT4G32520	AT4G34720	1	AT-UU-PY-01-LF-01
AT1G11600	AT4G37390	1	AT-UU-PY-01-LF-01
AT1G55930	AT1G22800	1	AT-UU-PY-01-LF-01
AT1G05630	AT1G05900	1	AT-UU-PY-01-LF-01
AT5G12430	AT1G68010	1	AT-UU-PY-01-LF-01
AT4G32250	AT4G33500	1	AT-UU-PY-01-LF-01
AT3G56330	AT1G33260	1	AT-UU-PY-01-LF-01
AT4G15530	AT4G17895	1	AT-UU-PY-01-LF-01
AT2G19090	AT1G56310	1	AT-UU-PY-01-LF-01
AT3G56640	AT2G18220	1	AT-UU-PY-01-LF-01
AT3G52140	AT3G55440	1	AT-UU-PY-01-LF-01
AT1G18140	AT5G49330	1	AT-UU-PY-01-LF-01
AT5G53890	AT5G55230	1	AT-UU-PY-01-LF-01
AT4G31160	AT2G42330	1	AT-UU-PY-01-LF-01
AT2G23740	AT3G14860	1	AT-UU-PY-01-LF-01
AT1G68710	AT5G37540	1	AT-UU-PY-01-LF-01
AT1G71010	AT2G19160	1	AT-UU-PY-01-LF-01
AT1G21630	AT1G52420	1	AT-UU-PY-01-LF-01
AT1G54960	AT1G54560	1	AT-UU-PY-01-LF-01
AT3G08510	AT5G16830	1	AT-UU-PY-01-LF-01
AT4G36080	AT5G35980	1	AT-UU-PY-01-LF-01
AT3G19050	AT2G34660	1	AT-UU-PY-01-LF-01
AT5G07920	AT5G08310	1	AT-UU-PY-01-LF-01
AT1G20960	AT1G21630	1	AT-UU-PY-01-LF-01
AT1G13160	AT1G02100	1	AT-UU-PY-01-LF-01
AT3G09920	AT2G33010	1	AT-UU-PY-01-LF-01
AT2G40340	AT5G65830	1	AT-UU-PY-01-LF-01
AT1G05960	AT5G08180	1	AT-UU-PY-01-LF-01
AT5G02240	AT5G42320	1	AT-UU-PY-01-LF-01
AT1G02960	AT1G03445	1	AT-UU-PY-01-LF-01
AT1G06270	AT1G47970	1	AT-UU-PY-01-LF-01
AT1G21610	AT2G40930	1	AT-UU-PY-01-LF-01
AT1G19835	AT5G15110	1	AT-UU-PY-01-LF-01
AT1G55180	AT1G44910	1	AT-UU-PY-01-LF-01
AT4G36080	AT4G36070	1	AT-UU-PY-01-LF-01
AT5G47480	AT1G19490	1	AT-UU-PY-01-LF-01
