Node1	Node2	score	network_id	edge_type
AT1G01060	AT1G04400	0	ATRM_v3.8	REG
AT1G01060	AT1G22770	1	ATRM_v3.8	REG
AT1G01060	AT1G32900	0	ATRM_v3.8	REG
AT1G01060	AT1G65480	0	ATRM_v3.8	REG
AT1G01060	AT2G21660	1	ATRM_v3.8	REG
AT1G01060	AT2G40080	1	ATRM_v3.8	REG
AT1G01060	AT2G46790	0	ATRM_v3.8	REG
AT1G01060	AT3G46640	1	ATRM_v3.8	REG
AT1G01060	AT5G02810	0	ATRM_v3.8	REG
AT1G01060	AT5G15840	1	ATRM_v3.8	REG
AT1G01060	AT5G61380	1	ATRM_v3.8	REG
AT1G01380	AT1G79840	1	ATRM_v3.8	REG
AT1G01530	AT4G02560	0	ATRM_v3.8	REG
AT1G01530	AT4G16280	0	ATRM_v3.8	REG
AT1G02340	AT1G29910	0	ATRM_v3.8	REG
AT1G02340	AT4G16780	1	ATRM_v3.8	REG
AT1G02340	AT5G13930	1	ATRM_v3.8	REG
AT1G04370	AT2G44840	0	ATRM_v3.8	REG
AT1G04370	AT3G23240	0	ATRM_v3.8	REG
AT1G06160	AT3G12500	0	ATRM_v3.8	REG
AT1G06160	AT5G44420	0	ATRM_v3.8	REG
AT1G07640	AT2G22330	0	ATRM_v3.8	REG
AT1G07640	AT3G56970	0	ATRM_v3.8	REG
AT1G07640	AT3G56980	0	ATRM_v3.8	REG
AT1G07640	AT4G31500	0	ATRM_v3.8	REG
AT1G07640	AT4G39950	0	ATRM_v3.8	REG
AT1G07640	AT5G23010	0	ATRM_v3.8	REG
AT1G09530	AT1G01060	0	ATRM_v3.8	REG
AT1G09530	AT1G29930	0	ATRM_v3.8	REG
AT1G09530	AT1G44446	0	ATRM_v3.8	REG
AT1G09530	AT2G18790	0	ATRM_v3.8	REG
AT1G09530	AT2G30570	0	ATRM_v3.8	REG
AT1G09530	AT2G46830	0	ATRM_v3.8	REG
AT1G09530	AT3G51240	0	ATRM_v3.8	REG
AT1G09530	AT4G14690	0	ATRM_v3.8	REG
AT1G09530	AT4G22880	0	ATRM_v3.8	REG
AT1G09530	AT5G13630	0	ATRM_v3.8	REG
AT1G09530	AT5G13930	0	ATRM_v3.8	REG
AT1G09530	AT5G42800	0	ATRM_v3.8	REG
AT1G09770	AT1G62360	0	ATRM_v3.8	REG
AT1G09770	AT1G75820	0	ATRM_v3.8	REG
AT1G09770	AT2G17950	0	ATRM_v3.8	REG
AT1G09770	AT2G27250	0	ATRM_v3.8	REG
AT1G09770	AT3G54180	0	ATRM_v3.8	REG
AT1G09770	AT4G16890	0	ATRM_v3.8	REG
AT1G10170	AT1G74710	1	ATRM_v3.8	REG
AT1G10170	AT2G14610	1	ATRM_v3.8	REG
AT1G10170	AT4G39030	1	ATRM_v3.8	REG
AT1G12610	AT1G50960	0	ATRM_v3.8	REG
AT1G12610	AT2G42540	0	ATRM_v3.8	REG
AT1G12610	AT5G17490	0	ATRM_v3.8	REG
AT1G12610	AT5G52310	1	ATRM_v3.8	REG
AT1G12860	AT5G53210	0	ATRM_v3.8	REG
AT1G12980	AT2G17950	0	ATRM_v3.8	REG
AT1G12980	AT2G27250	0	ATRM_v3.8	REG
AT1G13960	AT2G14610	1	ATRM_v3.8	REG
AT1G14350	AT3G54180	1	ATRM_v3.8	REG
AT1G14350	AT4G34160	0	ATRM_v3.8	REG
AT1G14920	AT1G15550	1	ATRM_v3.8	REG
AT1G14920	AT2G04240	0	ATRM_v3.8	REG
AT1G14920	AT2G36270	0	ATRM_v3.8	REG
AT1G14920	AT3G27920	1	ATRM_v3.8	REG
AT1G14920	AT4G25420	1	ATRM_v3.8	REG
AT1G14920	AT5G61850	0	ATRM_v3.8	REG
AT1G15360	AT1G01120	0	ATRM_v3.8	REG
AT1G15360	AT1G02205	0	ATRM_v3.8	REG
AT1G15360	AT4G24510	0	ATRM_v3.8	REG
AT1G16490	AT1G15950	0	ATRM_v3.8	REG
AT1G16490	AT1G51680	0	ATRM_v3.8	REG
AT1G16490	AT2G30490	0	ATRM_v3.8	REG
AT1G16490	AT2G37040	0	ATRM_v3.8	REG
AT1G16490	AT2G38080	0	ATRM_v3.8	REG
AT1G16490	AT2G40890	0	ATRM_v3.8	REG
AT1G16490	AT4G34050	0	ATRM_v3.8	REG
AT1G16490	AT4G37970	0	ATRM_v3.8	REG
AT1G16490	AT5G48930	0	ATRM_v3.8	REG
AT1G16490	AT5G54160	0	ATRM_v3.8	REG
AT1G18570	AT1G74100	0	ATRM_v3.8	REG
AT1G18570	AT2G22330	0	ATRM_v3.8	REG
AT1G18570	AT4G31500	0	ATRM_v3.8	REG
AT1G18570	AT4G39950	0	ATRM_v3.8	REG
AT1G18570	AT4G39980	0	ATRM_v3.8	REG
AT1G18570	AT5G54810	0	ATRM_v3.8	REG
AT1G19220	AT1G04240	0	ATRM_v3.8	REG
AT1G19220	AT2G42430	0	ATRM_v3.8	REG
AT1G19220	AT3G58190	0	ATRM_v3.8	REG
AT1G19220	AT4G14550	1	ATRM_v3.8	REG
AT1G19220	AT4G37650	1	ATRM_v3.8	REG
AT1G19350	AT2G20570	1	ATRM_v3.8	REG
AT1G19350	AT2G43060	0	ATRM_v3.8	REG
AT1G19350	AT4G38850	0	ATRM_v3.8	REG
AT1G19350	AT5G10140	1	ATRM_v3.8	REG
AT1G19350	AT5G44190	1	ATRM_v3.8	REG
AT1G19350	AT5G57560	0	ATRM_v3.8	REG
AT1G19850	AT1G01480	0	ATRM_v3.8	REG
AT1G19850	AT1G04550	0	ATRM_v3.8	REG
AT1G19850	AT1G12980	0	ATRM_v3.8	REG
AT1G19850	AT1G19850	0	ATRM_v3.8	REG
AT1G19850	AT1G73590	0	ATRM_v3.8	REG
AT1G19850	AT3G20840	0	ATRM_v3.8	REG
AT1G19850	AT4G11280	0	ATRM_v3.8	REG
AT1G19850	AT4G32880	0	ATRM_v3.8	REG
AT1G19850	AT4G37770	0	ATRM_v3.8	REG
AT1G21970	AT1G06180	1	ATRM_v3.8	REG
AT1G21970	AT1G28300	0	ATRM_v3.8	REG
AT1G21970	AT1G62290	0	ATRM_v3.8	REG
AT1G21970	AT2G17090	0	ATRM_v3.8	REG
AT1G21970	AT2G36270	0	ATRM_v3.8	REG
AT1G21970	AT2G41260	0	ATRM_v3.8	REG
AT1G21970	AT3G24650	0	ATRM_v3.8	REG
AT1G21970	AT3G26790	0	ATRM_v3.8	REG
AT1G21970	AT3G51810	1	ATRM_v3.8	REG
AT1G21970	AT3G54320	0	ATRM_v3.8	REG
AT1G21970	AT4G27160	0	ATRM_v3.8	REG
AT1G21970	AT5G66400	0	ATRM_v3.8	REG
AT1G22070	AT2G14610	0	ATRM_v3.8	REG
AT1G23420	AT1G23420	0	ATRM_v3.8	REG
AT1G23420	AT4G27330	0	ATRM_v3.8	REG
AT1G23420	AT4G37750	0	ATRM_v3.8	REG
AT1G24260	AT1G69120	1	ATRM_v3.8	REG
AT1G24260	AT2G17950	1	ATRM_v3.8	REG
AT1G24260	AT2G22540	1	ATRM_v3.8	REG
AT1G24260	AT3G54340	0	ATRM_v3.8	REG
AT1G24260	AT4G18960	0	ATRM_v3.8	REG
AT1G24260	AT4G24540	1	ATRM_v3.8	REG
AT1G24590	AT3G15170	0	ATRM_v3.8	REG
AT1G25560	AT1G65480	1	ATRM_v3.8	REG
AT1G26310	AT1G69120	0	ATRM_v3.8	REG
AT1G26310	AT5G03840	1	ATRM_v3.8	REG
AT1G26310	AT5G61850	0	ATRM_v3.8	REG
AT1G26870	AT1G79580	0	ATRM_v3.8	REG
AT1G26945	AT1G02340	1	ATRM_v3.8	REG
AT1G27730	AT1G07890	0	ATRM_v3.8	REG
AT1G27730	AT1G17420	1	ATRM_v3.8	REG
AT1G27730	AT1G19180	1	ATRM_v3.8	REG
AT1G27730	AT3G09640	0	ATRM_v3.8	REG
AT1G27730	AT4G25100	0	ATRM_v3.8	REG
AT1G27730	AT5G52310	1	ATRM_v3.8	REG
AT1G28300	AT1G04250	0	ATRM_v3.8	REG
AT1G28300	AT1G80340	1	ATRM_v3.8	REG
AT1G28300	AT2G22810	0	ATRM_v3.8	REG
AT1G28300	AT2G36270	1	ATRM_v3.8	REG
AT1G28300	AT3G24650	0	ATRM_v3.8	REG
AT1G28300	AT3G26790	0	ATRM_v3.8	REG
AT1G28300	AT3G54320	0	ATRM_v3.8	REG
AT1G28300	AT3G62100	0	ATRM_v3.8	REG
AT1G28300	AT4G13260	0	ATRM_v3.8	REG
AT1G28300	AT4G14560	0	ATRM_v3.8	REG
AT1G28300	AT4G27160	0	ATRM_v3.8	REG
AT1G28300	AT5G11320	0	ATRM_v3.8	REG
AT1G28300	AT5G13790	0	ATRM_v3.8	REG
AT1G28300	AT5G65165	0	ATRM_v3.8	REG
AT1G30210	AT2G31270	1	ATRM_v3.8	REG
AT1G30210	AT3G54710	1	ATRM_v3.8	REG
AT1G30330	AT2G44810	0	ATRM_v3.8	REG
AT1G30490	AT2G17950	1	ATRM_v3.8	REG
AT1G30490	AT5G16560	1	ATRM_v3.8	REG
AT1G32330	AT2G26150	0	ATRM_v3.8	REG
AT1G32540	AT1G08830	1	ATRM_v3.8	REG
AT1G32640	AT1G17420	0	ATRM_v3.8	REG
AT1G32640	AT1G18570	1	ATRM_v3.8	REG
AT1G32640	AT1G19180	0	ATRM_v3.8	REG
AT1G32640	AT1G27730	1	ATRM_v3.8	REG
AT1G32640	AT1G28370	1	ATRM_v3.8	REG
AT1G32640	AT1G29930	0	ATRM_v3.8	REG
AT1G32640	AT1G32640	1	ATRM_v3.8	REG
AT1G32640	AT1G33760	1	ATRM_v3.8	REG
AT1G32640	AT1G67090	0	ATRM_v3.8	REG
AT1G32640	AT1G72260	1	ATRM_v3.8	REG
AT1G32640	AT1G77120	0	ATRM_v3.8	REG
AT1G32640	AT2G14610	1	ATRM_v3.8	REG
AT1G32640	AT2G24850	0	ATRM_v3.8	REG
AT1G32640	AT2G46340	0	ATRM_v3.8	REG
AT1G32640	AT3G04720	1	ATRM_v3.8	REG
AT1G32640	AT3G12500	1	ATRM_v3.8	REG
AT1G32640	AT3G15210	1	ATRM_v3.8	REG
AT1G32640	AT3G16470	0	ATRM_v3.8	REG
AT1G32640	AT3G23240	1	ATRM_v3.8	REG
AT1G32640	AT3G45140	0	ATRM_v3.8	REG
AT1G32640	AT4G17490	1	ATRM_v3.8	REG
AT1G32640	AT5G07100	1	ATRM_v3.8	REG
AT1G32640	AT5G24770	0	ATRM_v3.8	REG
AT1G32640	AT5G24780	0	ATRM_v3.8	REG
AT1G32640	AT5G25610	0	ATRM_v3.8	REG
AT1G32640	AT5G44420	1	ATRM_v3.8	REG
AT1G32640	AT5G47220	1	ATRM_v3.8	REG
AT1G32770	AT1G16490	0	ATRM_v3.8	REG
AT1G32770	AT1G17950	0	ATRM_v3.8	REG
AT1G32770	AT1G28470	0	ATRM_v3.8	REG
AT1G32770	AT1G62990	0	ATRM_v3.8	REG
AT1G32770	AT1G66230	0	ATRM_v3.8	REG
AT1G32770	AT1G73410	0	ATRM_v3.8	REG
AT1G32770	AT1G79180	0	ATRM_v3.8	REG
AT1G32770	AT4G12350	0	ATRM_v3.8	REG
