node1	node2	score	edge_type
AT2G24220	AT1G28230	1	Metabolic-AraCyc
AT5G58700	AT1G05630	1	Metabolic-AraCyc
AT4G34930	AT5G61760	1	Metabolic-AraCyc
AT5G58670	AT5G07370	1	Metabolic-AraCyc
AT5G58670	AT5G61760	1	Metabolic-AraCyc
AT3G55940	AT5G07370	1	Metabolic-AraCyc
AT3G55940	AT5G61760	1	Metabolic-AraCyc
AT4G38530	AT5G07370	1	Metabolic-AraCyc
AT4G38530	AT5G61760	1	Metabolic-AraCyc
AT5G58700	AT5G07370	1	Metabolic-AraCyc
AT5G58700	AT5G61760	1	Metabolic-AraCyc
AT5G58690	AT5G07370	1	Metabolic-AraCyc
AT5G58690	AT5G61760	1	Metabolic-AraCyc
AT2G40116	AT5G07370	1	Metabolic-AraCyc
AT2G40116	AT5G61760	1	Metabolic-AraCyc
AT3G47220	AT5G07370	1	Metabolic-AraCyc
AT3G47220	AT5G61760	1	Metabolic-AraCyc
AT2G31830	AT2G43980	1	Metabolic-AraCyc
AT2G31830	AT4G33770	1	Metabolic-AraCyc
AT2G31830	AT4G08170	1	Metabolic-AraCyc
AT2G31830	AT5G16760	1	Metabolic-AraCyc
AT2G43900	AT2G43980	1	Metabolic-AraCyc
AT2G43900	AT4G33770	1	Metabolic-AraCyc
AT4G34930	AT5G07370	1	Metabolic-AraCyc
AT3G47290	AT5G61760	1	Metabolic-AraCyc
AT3G47290	AT5G07370	1	Metabolic-AraCyc
AT2G40116	AT4G18010	1	Metabolic-AraCyc
AT5G58700	AT2G43900	1	Metabolic-AraCyc
AT5G58700	AT1G34120	1	Metabolic-AraCyc
AT5G58690	AT2G31830	1	Metabolic-AraCyc
AT5G58690	AT1G05630	1	Metabolic-AraCyc
AT5G58690	AT4G18010	1	Metabolic-AraCyc
AT5G58690	AT2G43900	1	Metabolic-AraCyc
AT5G58690	AT1G34120	1	Metabolic-AraCyc
AT2G40116	AT2G31830	1	Metabolic-AraCyc
AT2G40116	AT1G05630	1	Metabolic-AraCyc
AT2G40116	AT2G43900	1	Metabolic-AraCyc
AT3G08510	AT5G61760	1	Metabolic-AraCyc
AT2G40116	AT1G34120	1	Metabolic-AraCyc
AT3G47220	AT2G31830	1	Metabolic-AraCyc
AT3G47220	AT1G05630	1	Metabolic-AraCyc
AT3G47220	AT4G18010	1	Metabolic-AraCyc
AT3G47220	AT2G43900	1	Metabolic-AraCyc
AT3G47220	AT1G34120	1	Metabolic-AraCyc
AT1G13680	AT5G07370	1	Metabolic-AraCyc
AT1G13680	AT5G61760	1	Metabolic-AraCyc
AT3G08510	AT5G07370	1	Metabolic-AraCyc
AT2G43900	AT4G08170	1	Metabolic-AraCyc
AT2G43900	AT5G16760	1	Metabolic-AraCyc
AT1G05630	AT2G43980	1	Metabolic-AraCyc
AT5G24950	AT3G44310	1	Metabolic-AraCyc
AT5G42590	AT3G44300	1	Metabolic-AraCyc
AT5G42590	AT3G44310	1	Metabolic-AraCyc
AT5G42590	AT3G44320	1	Metabolic-AraCyc
AT5G42590	AT5G22300	1	Metabolic-AraCyc
AT5G24960	AT3G44300	1	Metabolic-AraCyc
AT5G24960	AT3G44310	1	Metabolic-AraCyc
AT5G24960	AT3G44320	1	Metabolic-AraCyc
AT5G24960	AT5G22300	1	Metabolic-AraCyc
AT5G24950	AT3G44300	1	Metabolic-AraCyc
AT5G24950	AT3G44320	1	Metabolic-AraCyc
AT3G44310	AT3G44320	1	Metabolic-AraCyc
AT5G24950	AT5G22300	1	Metabolic-AraCyc
AT4G20240	AT3G44300	1	Metabolic-AraCyc
AT4G20240	AT3G44310	1	Metabolic-AraCyc
AT4G20240	AT3G44320	1	Metabolic-AraCyc
AT4G20240	AT5G22300	1	Metabolic-AraCyc
AT4G13310	AT3G44300	1	Metabolic-AraCyc
AT4G13310	AT3G44310	1	Metabolic-AraCyc
AT4G13310	AT3G44320	1	Metabolic-AraCyc
AT4G13310	AT5G22300	1	Metabolic-AraCyc
AT3G44310	AT5G22300	1	Metabolic-AraCyc
AT3G44310	AT3G44300	1	Metabolic-AraCyc
AT1G05630	AT4G33770	1	Metabolic-AraCyc
AT1G34120	AT5G16760	1	Metabolic-AraCyc
AT1G05630	AT4G08170	1	Metabolic-AraCyc
AT1G05630	AT5G16760	1	Metabolic-AraCyc
AT4G18010	AT2G43980	1	Metabolic-AraCyc
AT4G18010	AT4G33770	1	Metabolic-AraCyc
AT4G18010	AT4G08170	1	Metabolic-AraCyc
AT4G18010	AT5G16760	1	Metabolic-AraCyc
AT1G34120	AT2G43980	1	Metabolic-AraCyc
AT1G34120	AT4G33770	1	Metabolic-AraCyc
AT1G34120	AT4G08170	1	Metabolic-AraCyc
AT4G04880	AT5G18870	1	Metabolic-AraCyc
AT3G44300	AT5G22300	1	Metabolic-AraCyc
AT4G04880	AT5G18890	1	Metabolic-AraCyc
AT4G04880	AT5G18860	1	Metabolic-AraCyc
AT4G04880	AT1G05620	1	Metabolic-AraCyc
AT4G04880	AT2G36310	1	Metabolic-AraCyc
AT3G44320	AT3G44300	1	Metabolic-AraCyc
AT3G44320	AT5G22300	1	Metabolic-AraCyc
AT5G58700	AT4G18010	1	Metabolic-AraCyc
AT5G58700	AT2G31830	1	Metabolic-AraCyc
AT2G34200	AT4G10310	1	Metabolic-AraCyc
AT4G38530	AT1G34120	1	Metabolic-AraCyc
AT5G09300	AT3G45300	1	Metabolic-AraCyc
AT3G13450	AT3G45300	1	Metabolic-AraCyc
AT5G16370	AT3G45300	1	Metabolic-AraCyc
AT5G16340	AT3G45300	1	Metabolic-AraCyc
AT1G75960	AT3G45300	1	Metabolic-AraCyc
AT1G21540	AT3G45300	1	Metabolic-AraCyc
AT1G21530	AT3G45300	1	Metabolic-AraCyc
AT1G77240	AT3G45300	1	Metabolic-AraCyc
AT5G61760	AT5G07370	1	Metabolic-AraCyc
AT2G31830	AT5G63980	1	Metabolic-AraCyc
AT2G31830	AT5G64000	1	Metabolic-AraCyc
AT2G31830	AT5G63990	1	Metabolic-AraCyc
AT2G31830	AT4G05090	1	Metabolic-AraCyc
AT2G31830	AT5G09290	1	Metabolic-AraCyc
AT1G05630	AT5G63980	1	Metabolic-AraCyc
AT1G05630	AT5G64000	1	Metabolic-AraCyc
AT1G05630	AT5G63990	1	Metabolic-AraCyc
AT1G05630	AT4G05090	1	Metabolic-AraCyc
AT1G05630	AT5G09290	1	Metabolic-AraCyc
AT4G18010	AT5G63980	1	Metabolic-AraCyc
AT3G06850	AT3G45300	1	Metabolic-AraCyc
AT3G17240	AT3G45300	1	Metabolic-AraCyc
AT1G18870	AT1G68890	1	Metabolic-AraCyc
AT1G76290	AT3G13450	1	Metabolic-AraCyc
AT5G55630	AT2G34200	1	Metabolic-AraCyc
AT5G46240	AT2G34200	1	Metabolic-AraCyc
AT2G26650	AT2G34200	1	Metabolic-AraCyc
AT2G30070	AT2G34200	1	Metabolic-AraCyc
AT2G17650	AT3G13450	1	Metabolic-AraCyc
AT2G17650	AT5G09300	1	Metabolic-AraCyc
AT2G17650	AT3G06850	1	Metabolic-AraCyc
AT2G17650	AT3G17240	1	Metabolic-AraCyc
