node1	node2	score	edge_type
AT5G37055	AT3G12810	1	AtPIN_PPI
AT3G33520	AT3G12810	1	AtPIN_PPI
AT5G37055	AT3G33520	1	AtPIN_PPI
AT5G13530	AT2G36270	1	AtPIN_PPI
AT2G46340	AT2G46340	1	AtPIN_PPI
AT4G23810	AT1G54040	1	AtPIN_PPI
AT2G01830	AT2G45820	1	AtPIN_PPI
AT3G48100	AT5G46430	1	AtPIN_PPI
AT3G48100	AT4G34670	1	AtPIN_PPI
AT3G48100	AT4G29040	1	AtPIN_PPI
AT3G48100	AT2G30410	1	AtPIN_PPI
AT3G48100	AT2G30490	1	AtPIN_PPI
AT1G59940	AT5G48990	1	AtPIN_PPI
AT1G59940	AT1G29990	1	AtPIN_PPI
AT1G59940	AT5G53880	1	AtPIN_PPI
AT1G10470	AT3G57670	1	AtPIN_PPI
AT1G10470	AT3G12620	1	AtPIN_PPI
AT3G48100	AT5G39340	1	AtPIN_PPI
AT3G48100	AT3G29350	1	AtPIN_PPI
AT3G48100	AT3G48040	1	AtPIN_PPI
AT2G01830	AT5G10940	1	AtPIN_PPI
AT2G01830	AT2G47950	1	AtPIN_PPI
AT1G03430	AT1G10470	1	AtPIN_PPI
AT1G03430	AT3G16857	1	AtPIN_PPI
AT1G03430	AT3G02065	1	AtPIN_PPI
AT1G59940	AT5G39340	1	AtPIN_PPI
AT3G29350	AT1G59940	1	AtPIN_PPI
AT1G59940	AT3G21510	1	AtPIN_PPI
AT3G48100	AT5G54490	1	AtPIN_PPI
AT3G48100	AT5G26830	1	AtPIN_PPI
AT3G48100	AT3G44110	1	AtPIN_PPI
AT5G35750	AT5G42650	1	AtPIN_PPI
AT5G35750	AT5G63790	1	AtPIN_PPI
AT5G35750	AT5G11490	1	AtPIN_PPI
AT5G43430	AT1G50940	1	AtPIN_PPI
AT5G35750	AT1G26270	1	AtPIN_PPI
AT5G35750	AT5G64070	1	AtPIN_PPI
AT5G35750	AT3G09130	1	AtPIN_PPI
AT5G35750	AT1G65430	1	AtPIN_PPI
AT5G35750	AT1G77370	1	AtPIN_PPI
AT4G25560	AT1G02340	1	AtPIN_PPI
AT1G02340	AT1G53720	1	AtPIN_PPI
AT1G53720	AT1G53720	1	AtPIN_PPI
AT4G35800	AT1G53720	1	AtPIN_PPI
AT1G53720	AT3G61860	1	AtPIN_PPI
AT1G53720	AT4G25500	1	AtPIN_PPI
AT5G57090	AT2G34650	1	AtPIN_PPI
AT5G16840	AT2G34690	1	AtPIN_PPI
AT2G32950	AT1G02340	1	AtPIN_PPI
AT4G39670	AT3G60600	1	AtPIN_PPI
AT3G09920	AT1G35580	1	AtPIN_PPI
AT4G27780	AT4G38580	1	AtPIN_PPI
AT2G17790	AT5G53530	1	AtPIN_PPI
AT5G53530	AT1G53720	1	AtPIN_PPI
AT5G53530	AT1G66150	1	AtPIN_PPI
AT2G47190	AT4G09820	1	AtPIN_PPI
AT4G09820	AT4G09820	1	AtPIN_PPI
AT1G56650	AT4G09820	1	AtPIN_PPI
AT1G63650	AT2G47190	1	AtPIN_PPI
AT3G48100	AT5G46250	1	AtPIN_PPI
AT3G48100	AT3G27920	1	AtPIN_PPI
AT2G34650	AT2G34650	1	AtPIN_PPI
AT2G34650	AT1G73590	1	AtPIN_PPI
AT3G48100	AT1G68790	1	AtPIN_PPI
AT3G48100	AT1G52070	1	AtPIN_PPI
AT3G48100	AT5G08720	1	AtPIN_PPI
AT3G48100	AT5G62440	1	AtPIN_PPI
AT1G02340	AT1G02340	1	AtPIN_PPI
AT4G26070	AT4G01370	1	AtPIN_PPI
AT4G26070	AT4G08500	1	AtPIN_PPI
AT1G55250	AT1G55250	1	AtPIN_PPI
AT2G44950	AT2G44950	1	AtPIN_PPI
AT1G17580	AT1G17580	1	AtPIN_PPI
AT5G67060	AT4G36930	1	AtPIN_PPI
AT5G09750	AT4G36930	1	AtPIN_PPI
AT3G47810	AT2G17790	1	AtPIN_PPI
AT3G47810	AT5G53530	1	AtPIN_PPI
AT3G47810	AT4G27690	1	AtPIN_PPI
AT3G47810	AT5G06140	1	AtPIN_PPI
AT4G08500	AT5G06140	1	AtPIN_PPI
AT4G08500	AT5G35750	1	AtPIN_PPI
AT5G35750	AT3G52920	1	AtPIN_PPI
AT5G35750	AT5G42060	1	AtPIN_PPI
AT1G27320	AT5G43560	1	AtPIN_PPI
AT1G55250	AT2G44950	1	AtPIN_PPI
AT2G01830	AT3G29350	1	AtPIN_PPI
AT2G01830	AT2G38280	1	AtPIN_PPI
AT2G01830	AT5G58090	1	AtPIN_PPI
AT3G48100	AT5G19650	1	AtPIN_PPI
AT3G48100	AT1G13030	1	AtPIN_PPI
AT3G48100	AT4G17240	1	AtPIN_PPI
AT5G62920	AT5G43170	1	AtPIN_PPI
AT5G62920	AT5G63460	1	AtPIN_PPI
AT5G62920	AT5G65630	1	AtPIN_PPI
AT5G62920	AT5G28490	1	AtPIN_PPI
AT1G19050	AT5G39340	1	AtPIN_PPI
AT1G19050	AT3G29350	1	AtPIN_PPI
AT1G19050	AT5G42020	1	AtPIN_PPI
AT1G55250	AT1G14400	1	AtPIN_PPI
AT1G14400	AT2G44950	1	AtPIN_PPI
AT2G02760	AT2G44950	1	AtPIN_PPI
AT2G02760	AT1G55250	1	AtPIN_PPI
AT5G19280	AT1G55250	1	AtPIN_PPI
AT5G19280	AT1G75820	1	AtPIN_PPI
AT3G20550	AT1G01040	1	AtPIN_PPI
AT1G19050	AT5G48630	1	AtPIN_PPI
AT1G19050	AT1G68790	1	AtPIN_PPI
AT2G24790	AT2G32950	1	AtPIN_PPI
AT5G35750	AT5G42080	1	AtPIN_PPI
AT2G01830	AT5G20290	1	AtPIN_PPI
AT1G74890	AT1G29920	1	AtPIN_PPI
AT1G74890	AT5G08720	1	AtPIN_PPI
AT3G27830	AT5G35750	1	AtPIN_PPI
AT5G19280	AT1G01040	1	AtPIN_PPI
AT4G08500	AT4G23810	1	AtPIN_PPI
AT2G01830	AT1G79530	1	AtPIN_PPI
AT1G79530	AT1G53720	1	AtPIN_PPI
AT2G01830	AT1G13440	1	AtPIN_PPI
AT2G01830	AT1G13980	1	AtPIN_PPI
AT2G01830	AT1G08430	1	AtPIN_PPI
AT2G01830	AT5G28490	1	AtPIN_PPI
AT5G35750	AT3G10020	1	AtPIN_PPI
AT5G35750	AT3G29350	1	AtPIN_PPI
AT5G35750	AT5G39340	1	AtPIN_PPI
AT5G35750	AT4G27130	1	AtPIN_PPI
AT5G35750	AT5G08790	1	AtPIN_PPI
AT5G35750	AT3G11100	1	AtPIN_PPI
AT5G35750	AT3G18990	1	AtPIN_PPI
AT5G35750	AT5G53950	1	AtPIN_PPI
AT5G35750	AT2G20580	1	AtPIN_PPI
AT5G35750	AT1G31810	1	AtPIN_PPI
AT2G46020	AT1G21700	1	AtPIN_PPI
AT4G25560	AT1G80350	1	AtPIN_PPI
AT5G10470	AT1G80350	1	AtPIN_PPI
AT1G80350	AT1G80350	1	AtPIN_PPI
AT3G18980	AT5G03280	1	AtPIN_PPI
AT5G46210	AT4G05420	1	AtPIN_PPI
AT1G75540	AT5G11260	1	AtPIN_PPI
AT2G32950	AT1G75540	1	AtPIN_PPI
AT1G75410	AT2G23760	1	AtPIN_PPI
AT4G38130	AT5G22570	1	AtPIN_PPI
AT4G38130	AT5G01900	1	AtPIN_PPI
AT5G01900	AT4G24440	1	AtPIN_PPI
AT4G34610	AT1G06920	1	AtPIN_PPI
AT5G35750	AT5G62740	1	AtPIN_PPI
AT5G35750	AT1G53900	1	AtPIN_PPI
AT5G35750	AT5G13120	1	AtPIN_PPI
AT5G35750	AT4G29040	1	AtPIN_PPI
AT5G35750	AT1G67090	1	AtPIN_PPI
AT5G35750	AT1G22450	1	AtPIN_PPI
AT5G35750	AT4G27160	1	AtPIN_PPI
AT5G35750	AT5G07010	1	AtPIN_PPI
AT5G35750	AT5G11740	1	AtPIN_PPI
AT2G01830	AT3G51630	1	AtPIN_PPI
AT1G07770	AT2G01830	1	AtPIN_PPI
AT2G01830	AT1G25260	1	AtPIN_PPI
AT2G01830	AT2G23760	1	AtPIN_PPI
AT2G01830	AT1G51650	1	AtPIN_PPI
AT2G01830	AT2G05070	1	AtPIN_PPI
AT2G01830	AT2G45960	1	AtPIN_PPI
AT2G01830	AT5G60570	1	AtPIN_PPI
AT2G01830	AT4G15630	1	AtPIN_PPI
AT2G01830	AT5G59613	1	AtPIN_PPI
AT5G39340	AT3G57040	1	AtPIN_PPI
AT4G23140	AT3G57040	1	AtPIN_PPI
AT5G19280	AT3G57040	1	AtPIN_PPI
AT5G19280	AT4G23140	1	AtPIN_PPI
AT5G19280	AT4G23180	1	AtPIN_PPI
AT1G21750	AT3G19390	1	AtPIN_PPI
AT1G21750	AT5G43060	1	AtPIN_PPI
AT1G21750	AT1G47128	1	AtPIN_PPI
AT5G01900	AT1G21750	1	AtPIN_PPI
AT5G01900	AT5G22570	1	AtPIN_PPI
AT3G48750	AT2G23430	1	AtPIN_PPI
AT1G70210	AT2G23430	1	AtPIN_PPI
AT2G23430	AT2G22490	1	AtPIN_PPI
AT4G31800	AT1G80840	1	AtPIN_PPI
AT4G34160	AT2G23430	1	AtPIN_PPI
AT4G17615	AT3G17510	1	AtPIN_PPI
AT4G26570	AT3G17510	1	AtPIN_PPI
AT4G26570	AT5G07070	1	AtPIN_PPI
AT4G26570	AT2G26980	1	AtPIN_PPI
AT5G10930	AT4G17615	1	AtPIN_PPI
AT4G26570	AT5G10930	1	AtPIN_PPI
AT5G10930	AT5G24270	1	AtPIN_PPI
AT5G24270	AT4G30960	1	AtPIN_PPI
AT4G26570	AT4G30960	1	AtPIN_PPI
AT4G17615	AT4G30960	1	AtPIN_PPI
AT2G26980	AT4G17615	1	AtPIN_PPI
AT4G17615	AT5G07070	1	AtPIN_PPI
AT3G23000	AT4G17615	1	AtPIN_PPI
AT4G24400	AT4G17615	1	AtPIN_PPI
AT4G17615	AT1G48260	1	AtPIN_PPI
AT4G17615	AT1G29230	1	AtPIN_PPI
AT4G17615	AT5G35410	1	AtPIN_PPI
AT4G17615	AT2G30360	1	AtPIN_PPI
AT4G17615	AT4G18700	1	AtPIN_PPI
AT1G30270	AT4G17615	1	AtPIN_PPI
AT5G47100	AT3G17510	1	AtPIN_PPI
AT5G47100	AT5G10930	1	AtPIN_PPI
AT4G21100	AT5G46210	1	AtPIN_PPI
AT5G46210	AT5G20570	1	AtPIN_PPI
AT5G20570	AT1G26830	1	AtPIN_PPI
AT4G05420	AT4G10180	1	AtPIN_PPI
AT4G05420	AT5G58760	1	AtPIN_PPI
AT4G24400	AT5G47100	1	AtPIN_PPI
AT5G47100	AT1G48260	1	AtPIN_PPI
AT5G47100	AT1G29230	1	AtPIN_PPI
AT5G47100	AT5G35410	1	AtPIN_PPI
AT1G30270	AT5G47100	1	AtPIN_PPI
AT5G47100	AT5G57630	1	AtPIN_PPI
AT2G25090	AT5G47100	1	AtPIN_PPI
AT4G18700	AT5G47100	1	AtPIN_PPI
AT2G30360	AT5G47100	1	AtPIN_PPI
