node1	node2	score	network_id	edge_type
AT4G00020	AT5G20850	1	BIOGRID	PPI
AT4G00020	AT3G22880	1	BIOGRID	PPI
AT5G61380	AT2G43010	1	BIOGRID	PPI
AT5G61380	AT3G59060	1	BIOGRID	PPI
AT5G61380	AT5G61380	1	BIOGRID	PPI
AT5G61380	AT2G46790	1	BIOGRID	PPI
AT2G46790	AT2G46790	1	BIOGRID	PPI
AT2G46790	AT5G61380	1	BIOGRID	PPI
AT5G42190	AT2G18915	1	BIOGRID	PPI
AT2G25700	AT2G18915	1	BIOGRID	PPI
AT1G20140	AT2G18915	1	BIOGRID	PPI
AT3G60020	AT2G18915	1	BIOGRID	PPI
AT4G34210	AT2G18915	1	BIOGRID	PPI
AT2G03170	AT2G18915	1	BIOGRID	PPI
AT2G45950	AT2G18915	1	BIOGRID	PPI
AT2G18915	AT2G18915	1	BIOGRID	PPI
AT2G18915	AT5G57360	1	BIOGRID	PPI
AT2G18915	AT1G68050	1	BIOGRID	PPI
AT5G61380	AT5G57360	1	BIOGRID	PPI
AT5G61380	AT2G18915	1	BIOGRID	PPI
AT5G61380	AT1G68050	1	BIOGRID	PPI
AT5G24470	AT5G57360	1	BIOGRID	PPI
AT5G24470	AT2G18915	1	BIOGRID	PPI
AT5G24470	AT1G68050	1	BIOGRID	PPI
AT5G60100	AT5G61380	1	BIOGRID	PPI
AT5G61380	AT5G60100	1	BIOGRID	PPI
AT5G57360	AT1G22770	1	BIOGRID	PPI
AT1G27360	AT1G22770	1	BIOGRID	PPI
AT1G68050	AT1G22770	1	BIOGRID	PPI
AT2G18915	AT1G22770	1	BIOGRID	PPI
AT1G22770	AT5G57360	1	BIOGRID	PPI
AT5G57360	AT1G22770	1	BIOGRID	PPI
AT2G18915	AT1G22770	1	BIOGRID	PPI
AT1G22770	AT5G57360	1	BIOGRID	PPI
AT5G57360	AT5G61380	1	BIOGRID	PPI
AT5G15840	AT3G48590	1	BIOGRID	PPI
AT5G15840	AT1G56170	1	BIOGRID	PPI
AT5G15840	AT1G08970	1	BIOGRID	PPI
AT5G15840	AT2G38880	1	BIOGRID	PPI
AT5G15840	AT5G47640	1	BIOGRID	PPI
AT1G28050	AT5G47640	1	BIOGRID	PPI
AT1G28050	AT2G38880	1	BIOGRID	PPI
AT1G28050	AT3G48590	1	BIOGRID	PPI
AT1G28050	AT1G56170	1	BIOGRID	PPI
AT1G28050	AT1G08970	1	BIOGRID	PPI
AT5G15840	AT2G38880	1	BIOGRID	PPI
AT5G15840	AT3G48590	1	BIOGRID	PPI
AT5G15840	AT2G38880	1	BIOGRID	PPI
AT5G15840	AT3G48590	1	BIOGRID	PPI
AT5G61380	AT5G57360	1	BIOGRID	PPI
AT5G57360	AT2G18790	1	BIOGRID	PPI
AT1G09530	AT2G18790	1	BIOGRID	PPI
AT5G61380	AT5G57360	1	BIOGRID	PPI
AT5G61380	AT1G68050	1	BIOGRID	PPI
AT5G61380	AT2G18915	1	BIOGRID	PPI
AT5G61380	AT5G57360	1	BIOGRID	PPI
AT5G57360	AT5G61380	1	BIOGRID	PPI
AT5G61380	AT3G59060	1	BIOGRID	PPI
AT5G61380	AT1G09530	1	BIOGRID	PPI
AT3G59060	AT1G09530	1	BIOGRID	PPI
AT5G61380	AT2G46970	1	BIOGRID	PPI
AT5G61380	AT3G62090	1	BIOGRID	PPI
AT5G61380	AT1G09530	1	BIOGRID	PPI
AT5G61380	AT2G20180	1	BIOGRID	PPI
AT5G61380	AT2G43010	1	BIOGRID	PPI
AT5G61380	AT3G59060	1	BIOGRID	PPI
AT1G03430	AT1G32640	1	BIOGRID	PPI
AT5G24470	AT3G04910	1	BIOGRID	PPI
AT5G60100	AT3G04910	1	BIOGRID	PPI
AT5G24470	AT5G58350	1	BIOGRID	PPI
AT3G04910	AT5G60100	1	BIOGRID	PPI
AT5G60100	AT3G04910	1	BIOGRID	PPI
AT3G04910	AT5G60100	1	BIOGRID	PPI
AT3G04910	AT5G60100	1	BIOGRID	PPI
AT5G24470	AT3G04910	1	BIOGRID	PPI
AT5G61380	AT2G46970	1	BIOGRID	PPI
AT5G61380	AT1G09530	1	BIOGRID	PPI
AT2G46970	AT5G61380	1	BIOGRID	PPI
AT1G68050	AT1G22770	1	BIOGRID	PPI
AT1G68050	AT5G42190	1	BIOGRID	PPI
AT1G22770	AT1G68050	1	BIOGRID	PPI
AT1G22770	AT5G62430	1	BIOGRID	PPI
AT1G22770	AT1G68050	1	BIOGRID	PPI
AT1G22770	AT3G11540	1	BIOGRID	PPI
AT3G11540	AT1G22770	1	BIOGRID	PPI
AT3G11540	AT1G22770	1	BIOGRID	PPI
