node1	node2	score	edge_type
AT1G08630	PubChemCID:33032	0.4514251156503428	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G08640	PubChemCID:33032	0.4514251156503428	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G08650	PubChemCID:33032	0.4514251156503428	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G08660	PubChemCID:33032	0.4514251156503428	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G08670	PubChemCID:33032	0.4514251156503428	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G08680	PubChemCID:33032	0.4514251156503428	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G08695	PubChemCID:33032	0.4514251156503428	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G08700	PubChemCID:33032	0.4514251156503428	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G08710	PubChemCID:33032	0.4514251156503428	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G08720	PubChemCID:33032	0.4514251156503428	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G08730	PubChemCID:33032	0.4514251156503428	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G15900	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G15910	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G15920	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G15930	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G15940	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G15950	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G15960	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G15970	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G15980	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G15990	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G16000	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G16010	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G16020	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
AT1G16022	PubChemCID:311	0.5128075401486165	Wu2016-s015-Gene-to-Metab_GeneToPhenotype
