node1	node2	score	edge_type
AT1G01370	AT1G57820	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G28730	AT4G10710	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT2G39340	AT3G50360	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT2G40950	AT5G19660	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT2G45140	AT5G02100	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT2G46700	AT5G37600	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT2G46820	AT4G12800	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G02230	AT5G15650	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G02680	AT5G54260	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G03000	AT5G27150	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G06930	AT5G49020	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G13170	AT4G14180	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G21865	AT5G25760	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G24500	AT4G17770	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G25500	AT5G55000	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G44880	AT4G37000	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT2G30950	AT5G42270	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G48090	AT3G52430	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G49500	AT5G23570	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G56370	AT5G12900	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G59400	AT5G13630	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT3G62800	AT5G20320	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT4G03280	AT4G39710	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT4G17380	AT4G35520	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
AT4G18370	AT5G39830	1.0	protein-protein-interaction_literature_curated_AraNet_v2_subnet
