node1	node2	score	edge_type
AT1G09010	AT3G54440	1	AT-UU-CD-00-AA-01
AT3G02200	AT5G64760	1	AT-UU-CD-00-AA-01
AT1G04300	AT3G13672	1	AT-UU-CD-00-AA-01
AT2G32870	AT3G13672	1	AT-UU-CD-00-AA-01
AT2G42460	AT3G13672	1	AT-UU-CD-00-AA-01
AT3G13672	AT3G46190	1	AT-UU-CD-00-AA-01
AT3G13672	AT5G52330	1	AT-UU-CD-00-AA-01
AT2G18720	AT3G12915	1	AT-UU-CD-00-AA-01
AT1G11300	AT5G03700	1	AT-UU-CD-00-AA-01
AT5G20220	AT5G48030	1	AT-UU-CD-00-AA-01
AT5G42970	AT5G45620	1	AT-UU-CD-00-AA-01
AT1G02090	AT5G09900	1	AT-UU-CD-00-AA-01
AT1G02090	AT5G42970	1	AT-UU-CD-00-AA-01
AT1G02090	AT5G14250	1	AT-UU-CD-00-AA-01
AT1G02090	AT5G64760	1	AT-UU-CD-00-AA-01
AT4G19006	AT5G09900	1	AT-UU-CD-00-AA-01
AT4G19006	AT5G42970	1	AT-UU-CD-00-AA-01
AT4G19006	AT5G14250	1	AT-UU-CD-00-AA-01
AT4G19006	AT5G64760	1	AT-UU-CD-00-AA-01
AT5G15610	AT5G42970	1	AT-UU-CD-00-AA-01
AT5G15610	AT5G64760	1	AT-UU-CD-00-AA-01
AT3G02200	AT5G09900	1	AT-UU-CD-00-AA-01
AT3G02200	AT5G42970	1	AT-UU-CD-00-AA-01
AT2G32880	AT3G13672	1	AT-UU-CD-00-AA-01
AT4G14670	AT5G53350	1	AT-UU-CD-00-AA-01
AT4G14670	AT5G49840	1	AT-UU-CD-00-AA-01
AT1G55910	AT1G60960	1	AT-UU-CD-00-AA-01
AT1G10970	AT1G68100	1	AT-UU-CD-00-AA-01
AT4G32570	AT5G13220	1	AT-UU-CD-00-AA-01
AT4G32570	AT5G20900	1	AT-UU-CD-00-AA-01
AT3G08650	AT4G33020	1	AT-UU-CD-00-AA-01
AT3G08650	AT5G45105	1	AT-UU-CD-00-AA-01
AT3G08650	AT4G19680	1	AT-UU-CD-00-AA-01
AT3G08650	AT3G12750	1	AT-UU-CD-00-AA-01
AT3G08650	AT4G19690	1	AT-UU-CD-00-AA-01
AT3G08650	AT5G62160	1	AT-UU-CD-00-AA-01
AT3G20870	AT4G33020	1	AT-UU-CD-00-AA-01
AT1G33360	AT4G14670	1	AT-UU-CD-00-AA-01
AT3G20870	AT5G45105	1	AT-UU-CD-00-AA-01
AT3G20870	AT4G19680	1	AT-UU-CD-00-AA-01
AT3G20870	AT4G19690	1	AT-UU-CD-00-AA-01
AT3G20870	AT5G62160	1	AT-UU-CD-00-AA-01
AT1G19180	AT4G32570	1	AT-UU-CD-00-AA-01
AT1G48500	AT2G34600	1	AT-UU-CD-00-AA-01
AT3G43440	AT4G32570	1	AT-UU-CD-00-AA-01
AT2G16960	AT5G13060	1	AT-UU-CD-00-AA-01
AT2G46500	AT4G12570	1	AT-UU-CD-00-AA-01
AT3G02200	AT5G14250	1	AT-UU-CD-00-AA-01
AT5G09900	AT5G45620	1	AT-UU-CD-00-AA-01
AT1G10970	AT1G55910	1	AT-UU-CD-00-AA-01
AT5G09900	AT5G15610	1	AT-UU-CD-00-AA-01
AT3G47390	AT4G29640	1	AT-UU-CD-00-AA-01
AT3G47390	AT4G29570	1	AT-UU-CD-00-AA-01
AT3G47390	AT4G29620	1	AT-UU-CD-00-AA-01
AT2G19570	AT3G47390	1	AT-UU-CD-00-AA-01
AT4G27640	AT5G16210	1	AT-UU-CD-00-AA-01
AT1G29150	AT5G09900	1	AT-UU-CD-00-AA-01
AT1G29150	AT5G42970	1	AT-UU-CD-00-AA-01
AT1G29150	AT5G14250	1	AT-UU-CD-00-AA-01
AT1G29150	AT5G64760	1	AT-UU-CD-00-AA-01
AT2G36960	AT5G58900	1	AT-UU-CD-00-AA-01
AT2G36960	AT2G38090	1	AT-UU-CD-00-AA-01
AT3G52250	AT5G58900	1	AT-UU-CD-00-AA-01
AT4G39160	AT5G58900	1	AT-UU-CD-00-AA-01
AT2G38090	AT3G52250	1	AT-UU-CD-00-AA-01
AT2G38090	AT4G39160	1	AT-UU-CD-00-AA-01
AT2G03510	AT3G27280	1	AT-UU-CD-00-AA-01
AT2G03510	AT5G44140	1	AT-UU-CD-00-AA-01
AT2G03510	AT2G20530	1	AT-UU-CD-00-AA-01
AT2G03510	AT5G40770	1	AT-UU-CD-00-AA-01
AT2G03510	AT4G28510	1	AT-UU-CD-00-AA-01
AT2G03510	AT5G14300	1	AT-UU-CD-00-AA-01
AT3G47390	AT4G29630	1	AT-UU-CD-00-AA-01
AT2G38700	AT5G27450	1	AT-UU-CD-00-AA-01
AT3G54250	AT5G27450	1	AT-UU-CD-00-AA-01
AT1G29870	AT5G52520	1	AT-UU-CD-00-AA-01
AT4G11420	AT5G09900	1	AT-UU-CD-00-AA-01
AT4G11420	AT5G42970	1	AT-UU-CD-00-AA-01
AT4G11420	AT5G14250	1	AT-UU-CD-00-AA-01
AT4G11420	AT5G64760	1	AT-UU-CD-00-AA-01
AT5G45620	AT5G64760	1	AT-UU-CD-00-AA-01
AT5G14250	AT5G45620	1	AT-UU-CD-00-AA-01
AT5G14250	AT5G15610	1	AT-UU-CD-00-AA-01
AT2G27660	AT4G34430	1	AT-UU-CD-00-AA-01
AT1G29870	AT3G62120	1	AT-UU-CD-00-AA-01
AT1G69830	AT3G20440	1	AT-UU-CD-00-AA-01
AT1G03090	AT1G34430	1	AT-UU-CD-00-AA-01
AT4G24270	AT5G28740	1	AT-UU-CD-00-AA-01
AT4G02220	AT5G50450	1	AT-UU-CD-00-AA-01
AT1G67340	AT4G02220	1	AT-UU-CD-00-AA-01
AT2G32450	AT4G24690	1	AT-UU-CD-00-AA-01
AT1G05150	AT4G24690	1	AT-UU-CD-00-AA-01
AT3G51110	AT4G28200	1	AT-UU-CD-00-AA-01
AT4G28200	AT5G41770	1	AT-UU-CD-00-AA-01
AT4G28200	AT5G28740	1	AT-UU-CD-00-AA-01
AT1G03090	AT3G25860	1	AT-UU-CD-00-AA-01
AT1G10970	AT3G20870	1	AT-UU-CD-00-AA-01
AT1G10970	AT3G08650	1	AT-UU-CD-00-AA-01
AT1G13320	AT2G16960	1	AT-UU-CD-00-AA-01
AT3G11964	AT3G26560	1	AT-UU-CD-00-AA-01
AT2G22360	AT2G24860	1	AT-UU-CD-00-AA-01
AT2G22360	AT3G17668	1	AT-UU-CD-00-AA-01
AT2G22360	AT5G17840	1	AT-UU-CD-00-AA-01
AT2G22360	AT3G47650	1	AT-UU-CD-00-AA-01
AT2G22360	AT2G34860	1	AT-UU-CD-00-AA-01
AT3G17668	AT3G44110	1	AT-UU-CD-00-AA-01
AT3G17668	AT4G39960	1	AT-UU-CD-00-AA-01
AT3G17668	AT5G22060	1	AT-UU-CD-00-AA-01
AT3G17668	AT3G17830	1	AT-UU-CD-00-AA-01
AT3G17830	AT5G17840	1	AT-UU-CD-00-AA-01
AT3G17830	AT3G47650	1	AT-UU-CD-00-AA-01
AT5G17840	AT5G22060	1	AT-UU-CD-00-AA-01
AT2G34860	AT3G44110	1	AT-UU-CD-00-AA-01
AT2G34860	AT4G39960	1	AT-UU-CD-00-AA-01
AT2G34860	AT5G22060	1	AT-UU-CD-00-AA-01
AT2G34860	AT3G17830	1	AT-UU-CD-00-AA-01
AT3G46200	AT4G25434	1	AT-UU-CD-00-AA-01
